* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-07-19 PP09096 B.eds
* Experiment Name = 2012-07-19 PP09096 B
* Experiment Run End Time = 2012-07-19 17:26:51 PM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	BADROX	NOAMP	OUTLIERRG	EXPFAIL	THOLDFAIL
101	hsa-miR-647-001600	Undetermined		N	Y	N	Y	Y
102	hsa-miR-648-001601	Undetermined		N	N	N	Y	Y
103	hsa-miR-649-001602	37.053	37.053	N	N	N	N	Y
104	hsa-miR-650-001603	Undetermined		N	N	N	Y	Y
105	hsa-miR-661-001606	26.331	26.331	N	N	N	N	N
106	hsa-miR-662-001607	Undetermined		N	Y	N	Y	Y
107	RNU48-001006	30.407	30.407	N	N	N	N	N
108	hsa-miR-571-001613	28.095	28.095	N	N	N	N	Y
109	hsa-miR-572-001614	30.141	30.141	N	N	N	N	N
110	hsa-miR-573-001615	Undetermined		N	N	N	Y	Y
111	hsa-miR-575-001617	Undetermined		N	N	N	Y	Y
112	hsa-miR-578-001619	Undetermined		N	N	N	Y	Y
113	hsa-miR-580-001621	Undetermined		N	N	N	Y	Y
114	hsa-miR-581-001622	Undetermined		N	N	N	Y	Y
115	hsa-miR-583-001623	Undetermined		N	N	N	Y	Y
116	hsa-miR-584-001624	26.644	26.644	N	N	N	N	N
117	hsa-miR-585-001625	Undetermined		N	Y	N	Y	Y
118	rno-miR-29c#-001818	28.433	28.433	N	N	N	N	N
119	hsa-miR-766-001986	21.717	21.717	N	N	N	N	N
120	hsa-miR-595-001987	Undetermined		N	Y	N	Y	Y
121	hsa-miR-668-001992	34.764	34.764	N	N	N	N	Y
122	hsa-miR-767-5p-001993	Undetermined		N	Y	N	Y	Y
123	hsa-miR-767-3p-001995	Undetermined		N	Y	N	Y	Y
124	hsa-miR-454#-001996	28.340	28.340	N	N	N	N	N
125	hsa-miR-769-5p-001998	26.014	26.014	N	N	N	N	N
126	hsa-miR-770-5p-002002	Undetermined		N	N	N	Y	Y
127	hsa-miR-769-3p-002003	Undetermined		N	Y	N	Y	Y
128	hsa-miR-802-002004	Undetermined		N	Y	N	Y	Y
129	hsa-miR-675-002005	Undetermined		N	N	N	Y	Y
130	hsa-miR-505#-002087	27.401	27.401	N	N	N	N	N
131	hsa-miR-218-1#-002094	Undetermined		N	Y	N	Y	Y
132	hsa-miR-221#-002096	Undetermined		N	N	N	Y	Y
133	hsa-miR-222#-002097	30.045	30.045	N	N	N	N	Y
134	hsa-miR-223#-002098	23.174	23.174	N	N	N	N	N
135	hsa-miR-136#-002100	27.212	27.212	N	N	N	N	N
136	hsa-miR-34b-002102	26.724	26.724	N	N	N	N	N
137	hsa-miR-185#-002104	31.214	31.214	N	N	N	N	N
138	hsa-miR-186#-002105	Undetermined		N	N	N	Y	Y
139	hsa-miR-195#-002107	Undetermined		N	Y	N	Y	Y
140	hsa-miR-30c-1#-002108	31.672	31.672	N	N	N	N	Y
141	hsa-miR-30c-2#-002110	Undetermined		N	Y	N	Y	Y
142	hsa-miR-32#-002111	Undetermined		N	N	N	Y	Y
143	hsa-miR-31#-002113	30.624	30.624	N	N	N	N	N
144	hsa-miR-130b#-002114	30.074	30.074	N	N	N	N	Y
145	hsa-miR-26a-2#-002115	Undetermined		N	Y	N	Y	Y
146	hsa-miR-361-3p-002116	27.584	27.584	N	N	N	N	Y
147	hsa-let-7g#-002118	Undetermined		N	Y	N	Y	Y
148	hsa-miR-302b#-002119	Undetermined		N	Y	N	Y	Y
149	hsa-miR-302d#-002120	Undetermined		N	Y	N	Y	Y
150	hsa-miR-367#-002121	Undetermined		N	Y	N	Y	Y
151	hsa-miR-374a#-002125	Undetermined		N	Y	N	Y	Y
152	hsa-miR-23b#-002126	Undetermined		N	Y	N	Y	Y
153	hsa-miR-376a#-002127	32.863	32.863	N	N	N	N	N
154	hsa-miR-377#-002128	31.550	31.550	N	N	N	N	N
155	ath-miR159a-000338	14.825	14.825	N	N	N	N	N
156	hsa-miR-30b#-002129	Undetermined		N	Y	N	Y	Y
157	hsa-miR-122#-002130	Undetermined		N	Y	N	Y	Y
158	hsa-miR-130a#-002131	Undetermined		N	Y	N	Y	Y
159	hsa-miR-132#-002132	Undetermined		N	Y	N	Y	Y
160	hsa-miR-148a#-002134	32.673	32.673	N	N	N	N	Y
161	hsa-miR-33a-002135	Undetermined		N	N	N	Y	Y
162	hsa-miR-33a#-002136	28.225	28.225	N	N	N	N	N
163	hsa-miR-92a-1#-002137	Undetermined		N	Y	N	Y	Y
164	hsa-miR-92a-2#-002138	Undetermined		N	N	N	Y	Y
165	hsa-miR-93#-002139	23.593	23.593	N	N	N	N	N
166	hsa-miR-96#-002140	Undetermined		N	Y	N	Y	Y
167	hsa-miR-99a#-002141	33.872	33.872	N	N	N	N	N
168	hsa-miR-100#-002142	Undetermined		N	Y	N	Y	Y
169	hsa-miR-101#-002143	Undetermined		N	Y	N	Y	Y
170	hsa-miR-138-2#-002144	Undetermined		N	N	N	Y	Y
171	hsa-miR-141#-002145	34.386	34.386	N	N	N	N	Y
172	hsa-miR-143#-002146	Undetermined		N	N	N	Y	Y
173	hsa-miR-144#-002148	26.945	26.945	N	N	N	N	N
174	hsa-miR-145#-002149	29.312	29.312	N	N	N	N	N
175	hsa-miR-920-002150	Undetermined		N	N	N	Y	Y
176	hsa-miR-921-002151	Undetermined		N	Y	N	Y	Y
177	hsa-miR-922-002152	Undetermined		N	Y	N	Y	Y
178	hsa-miR-924-002154	Undetermined		N	Y	N	Y	Y
179	hsa-miR-337-3p-002157	27.640	27.640	N	N	N	N	Y
180	hsa-miR-125b-2#-002158	Undetermined		N	N	N	Y	Y
181	hsa-miR-135b#-002159	Undetermined		N	N	N	Y	Y
182	hsa-miR-148b#-002160	30.313	30.313	N	N	N	N	N
183	hsa-miR-146a#-002163	Undetermined		N	Y	N	Y	Y
184	hsa-miR-149#-002164	Undetermined		N	Y	N	Y	Y
185	hsa-miR-29b-1#-002165	Undetermined		N	N	N	Y	Y
186	hsa-miR-29b-2#-002166	Undetermined		N	Y	N	Y	Y
187	hsa-miR-105#-002168	Undetermined		N	Y	N	Y	Y
188	hsa-miR-106a#-002170	33.140	33.140	N	N	N	N	Y
189	hsa-miR-16-2#-002171	Undetermined		N	N	N	Y	Y
190	hsa-let-7i#-002172	35.116	35.116	N	N	N	N	Y
191	hsa-miR-15b#-002173	24.839	24.839	N	N	N	N	N
192	hsa-miR-27b#-002174	29.129	29.129	N	N	N	N	N
193	hsa-miR-933-002176	Undetermined		N	N	N	Y	Y
194	hsa-miR-934-002177	Undetermined		N	Y	N	Y	Y
195	hsa-miR-935-002178	Undetermined		N	Y	N	Y	Y
196	hsa-miR-936-002179	Undetermined		N	N	N	Y	Y
197	hsa-miR-937-002180	Undetermined		N	Y	N	Y	Y
198	hsa-miR-938-002181	33.168	33.168	N	N	N	N	N
199	hsa-miR-939-002182	32.515	32.515	N	N	N	N	N
200	hsa-miR-941-002183	30.033	30.033	N	N	N	N	Y
201	hsa-miR-335#-002185	26.570	26.570	N	N	N	N	Y
202	hsa-miR-942-002187	25.973	25.973	N	N	N	N	N
203	hsa-miR-943-002188	Undetermined		N	Y	N	Y	Y
204	hsa-miR-944-002189	Undetermined		N	N	N	Y	Y
205	hsa-miR-99b#-002196	28.394	28.394	N	N	N	N	N
206	hsa-miR-124#-002197	Undetermined		N	Y	N	Y	Y
207	hsa-miR-541#-002200	Undetermined		N	Y	N	Y	Y
208	hsa-miR-875-5p-002203	35.167	35.167	N	N	N	N	N
209	hsa-miR-888#-002213	Undetermined		N	Y	N	Y	Y
210	hsa-miR-892b-002214	Undetermined		N	N	N	Y	Y
211	hsa-miR-9#-002231	28.607	28.607	N	N	N	N	N
212	hsa-miR-411#-002238	32.060	32.060	N	N	N	N	N
213	hsa-miR-378-002243	25.433	25.433	N	N	N	N	N
214	hsa-miR-151-3p-002254	20.502	20.502	N	N	N	N	N
215	hsa-miR-340#-002259	26.343	26.343	N	N	N	N	N
216	hsa-miR-190b-002263	29.432	29.432	N	N	N	N	N
217	hsa-miR-545#-002266	35.272	35.272	N	N	N	N	N
218	hsa-miR-183#-002270	27.480	27.480	N	N	N	N	N
219	hsa-miR-192#-002272	Undetermined		N	Y	N	Y	Y
220	hsa-miR-200b#-002274	Undetermined		N	Y	N	Y	Y
221	hsa-miR-200c#-002286	Undetermined		N	Y	N	Y	Y
222	hsa-miR-155#-002287	Undetermined		N	N	N	Y	Y
223	hsa-miR-10a#-002288	34.974	34.974	N	N	N	N	N
224	hsa-miR-214#-002293	30.284	30.284	N	N	N	N	N
225	hsa-miR-218-2#-002294	Undetermined		N	Y	N	Y	Y
226	hsa-miR-129#-002298	Undetermined		N	N	N	Y	Y
227	hsa-miR-22#-002301	24.208	24.208	N	N	N	N	N
228	hsa-miR-425#-002302	24.788	24.788	N	N	N	N	N
229	hsa-miR-30d#-002305	28.867	28.867	N	N	N	N	N
230	hsa-let-7a#-002307	30.670	30.670	N	N	N	N	Y
231	hsa-miR-424#-002309	26.505	26.505	N	N	N	N	N
232	hsa-miR-18b#-002310	Undetermined		N	Y	N	Y	Y
233	hsa-miR-20b#-002311	Undetermined		N	Y	N	Y	Y
234	hsa-miR-431#-002312	Undetermined		N	N	N	Y	Y
235	hsa-miR-7-2#-002314	Undetermined		N	Y	N	Y	Y
236	hsa-miR-10b#-002315	26.361	26.361	N	N	N	N	N
237	hsa-miR-34a#-002316	29.034	29.034	N	N	N	N	N
238	hsa-miR-181a-2#-002317	28.738	28.738	N	N	N	N	N
239	hsa-miR-744#-002325	29.325	29.325	N	N	N	N	N
240	hsa-miR-452#-002330	Undetermined		N	Y	N	Y	Y
241	hsa-miR-409-3p-002332	20.712	20.712	N	N	N	N	N
242	hsa-miR-181c#-002333	26.625	26.625	N	N	N	N	Y
243	hsa-miR-196a#-002336	Undetermined		N	Y	N	Y	Y
244	hsa-miR-483-3p-002339	25.991	25.991	N	N	N	N	N
245	hsa-miR-708#-002342	Undetermined		N	Y	N	Y	Y
246	hsa-miR-92b#-002343	Undetermined		N	N	N	Y	Y
247	hsa-miR-551b#-002346	32.925	32.925	N	N	N	N	Y
248	hsa-miR-202#-002362	Undetermined		N	Y	N	Y	Y
249	hsa-miR-193b#-002366	28.397	28.397	N	N	N	N	Y
250	hsa-miR-497#-002368	Undetermined		N	N	N	Y	Y
251	hsa-miR-518e#-002371	Undetermined		N	N	N	Y	Y
252	hsa-miR-543-002376	26.410	26.410	N	N	N	N	N
253	hsa-miR-125b-1#-002378	Undetermined		N	N	N	Y	Y
254	hsa-miR-194#-002379	Undetermined		N	N	N	Y	Y
255	hsa-miR-106b#-002380	25.626	25.626	N	N	N	N	N
256	hsa-miR-302a#-002381	Undetermined		N	N	N	Y	Y
257	hsa-miR-519b-3p-002384	32.663	32.663	N	N	N	N	N
258	hsa-miR-518f#-002387	Undetermined		N	N	N	Y	Y
259	hsa-miR-374b#-002391	Undetermined		N	N	N	Y	Y
260	hsa-miR-520c-3p-002400	33.186	33.186	N	N	N	N	N
261	hsa-let-7b#-002404	Undetermined		N	N	N	Y	Y
262	hsa-let-7c#-002405	Undetermined		N	Y	N	Y	Y
263	hsa-let-7e#-002407	34.574	34.574	N	N	N	N	N
264	hsa-miR-550-002410	30.184	30.184	N	N	N	N	N
265	hsa-miR-593-002411	Undetermined		N	Y	N	Y	Y
266	hsa-let-7f-1#-002417	Undetermined		N	N	N	Y	Y
267	hsa-let-7f-2#-002418	32.947	32.947	N	N	N	N	Y
268	hsa-miR-15a#-002419	26.402	26.402	N	N	N	N	N
269	hsa-miR-16-1#-002420	27.345	27.345	N	N	N	N	N
270	hsa-miR-17#-002421	29.299	29.299	N	N	N	N	N
271	hsa-miR-18a#-002423	30.401	30.401	N	N	N	N	N
272	hsa-miR-19a#-002424	33.786	33.786	N	N	N	N	N
273	hsa-miR-19b-1#-002425	28.783	28.783	N	N	N	N	N
274	hsa-miR-625#-002432	22.214	22.214	N	N	N	N	N
275	hsa-miR-628-3p-002434	27.076	27.076	N	N	N	N	N
276	hsa-miR-20a#-002437	29.878	29.878	N	N	N	N	N
277	hsa-miR-21#-002438	29.248	29.248	N	N	N	N	N
278	hsa-miR-23a#-002439	Undetermined		N	Y	N	Y	Y
279	hsa-miR-24-1#-002440	Undetermined		N	Y	N	Y	Y
280	hsa-miR-24-2#-002441	28.429	28.429	N	N	N	N	N
281	hsa-miR-25#-002442	32.225	32.225	N	N	N	N	Y
282	hsa-miR-26a-1#-002443	27.434	27.434	N	N	N	N	N
283	hsa-miR-26b#-002444	25.717	25.717	N	N	N	N	N
284	hsa-miR-27a#-002445	29.494	29.494	N	N	N	N	N
285	hsa-miR-29a#-002447	28.426	28.426	N	N	N	N	N
286	hsa-miR-151-5P-002642	23.923	23.923	N	N	N	N	N
287	hsa-miR-765-002643	Undetermined		N	Y	N	Y	Y
288	hsa-miR-338-5P-002658	30.349	30.349	N	N	N	N	N
289	hsa-miR-620-002672	Undetermined		N	Y	N	Y	Y
290	hsa-miR-577-002675	32.776	32.776	N	N	N	N	N
291	hsa-miR-144-002676	24.320	24.320	N	N	N	N	N
292	hsa-miR-590-3P-002677	27.974	27.974	N	N	N	N	N
293	hsa-miR-191#-002678	27.363	27.363	N	N	N	N	N
294	hsa-miR-665-002681	Undetermined		N	Y	N	Y	Y
295	hsa-miR-520D-3P-002743	31.177	31.177	N	N	N	N	N
296	hsa-miR-1224-3P-002752	Undetermined		N	Y	N	Y	Y
297	has-miR-1305-002867	34.524	34.524	N	N	N	N	N
298	hsa-miR-513C-002756	Undetermined		N	Y	N	Y	Y
299	hsa-miR-513B-002757	Undetermined		N	Y	N	Y	Y
300	hsa-miR-1226#-002758	32.937	32.937	N	N	N	N	N
301	hsa-miR-1236-002761	Undetermined		N	N	N	Y	Y
302	hsa-miR-1228#-002763	Undetermined		N	N	N	Y	Y
303	hsa-miR-1225-3P-002766	Undetermined		N	N	N	Y	Y
304	hsa-miR-1233-002768	Undetermined		N	N	N	Y	Y
305	hsa-miR-1227-002769	27.966	27.966	N	N	N	N	N
306	hsa-miR-1286-002773	Undetermined		N	Y	N	Y	Y
307	hsa-miR-548M-002775	Undetermined		N	N	N	Y	Y
308	hsa-miR-1179-002776	32.926	32.926	N	N	N	N	N
309	hsa-miR-1178-002777	Undetermined		N	Y	N	Y	Y
310	hsa-miR-1205-002778	Undetermined		N	Y	N	Y	Y
311	hsa-miR-1271-002779	27.596	27.596	N	N	N	N	N
312	hsa-miR-1201-002781	Undetermined		N	Y	N	Y	Y
313	hsa-miR-548J-002783	35.129	35.129	N	N	N	N	Y
314	hsa-miR-1263-002784	Undetermined		N	Y	N	Y	Y
315	hsa-miR-1294-002785	33.804	33.804	N	N	N	N	Y
316	hsa-miR-1269-002789	Undetermined		N	Y	N	Y	Y
317	hsa-miR-1265-002790	Undetermined		N	Y	N	Y	Y
318	hsa-miR-1244-002791	33.262	33.262	N	N	N	N	N
319	hsa-miR-1303-002792	29.313	29.313	N	N	N	N	N
320	hsa-miR-1259-002796	Undetermined		N	Y	N	Y	Y
321	hsa-miR-548P-002798	Undetermined		N	Y	N	Y	Y
322	hsa-miR-1264-002799	Undetermined		N	Y	N	Y	Y
323	hsa-miR-1255B-002801	27.991	27.991	N	N	N	N	N
324	hsa-miR-1282-002803	Undetermined		N	Y	N	Y	Y
325	hsa-miR-1255A-002805	Undetermined		N	N	N	Y	Y
326	hsa-miR-1270-002807	30.868	30.868	N	N	N	N	N
327	hsa-miR-1197-002810	30.696	30.696	N	N	N	N	N
328	hsa-miR-1324-002815	Undetermined		N	Y	N	Y	Y
329	hsa-miR-548H-002816	Undetermined		N	Y	N	Y	Y
330	hsa-miR-1254-002818	32.389	32.389	N	N	N	N	N
331	hsa-miR-548K-002819	Undetermined		N	Y	N	Y	Y
332	hsa-miR-1251-002820	35.061	35.061	N	N	N	N	N
333	hsa-miR-1285-002822	28.702	28.702	N	N	N	N	N
334	hsa-miR-1245-002823	Undetermined		N	Y	N	Y	Y
335	hsa-miR-1292-002824	Undetermined		N	Y	N	Y	Y
336	hsa-miR-1301-002827	30.988	30.988	N	N	N	N	Y
337	hsa-miR-1200-002829	Undetermined		N	Y	N	Y	Y
338	hsa-miR-1182-002830	Undetermined		N	Y	N	Y	Y
339	hsa-miR-1288-002832	Undetermined		N	N	N	N	Y
340	hsa-miR-1291-002838	29.213	29.213	N	N	N	N	N
341	hsa-miR-1275-002840	29.353	29.353	N	N	N	N	Y
342	hsa-miR-1183-002841	25.986	25.986	N	N	N	N	N
343	hsa-miR-1184-002842	Undetermined		N	N	N	Y	Y
344	hsa-miR-1276-002843	32.807	32.807	N	N	N	N	N
345	hsa-miR-320B-002844	24.068	24.068	N	N	N	N	N
346	hsa-miR-1272-002845	Undetermined		N	Y	N	Y	Y
347	hsa-miR-1180-002847	27.910	27.910	N	N	N	N	N
348	hsa-miR-1256-002850	Undetermined		N	N	N	Y	Y
349	hsa-miR-1278-002851	Undetermined		N	Y	N	Y	Y
350	hsa-miR-1262-002852	31.909	31.909	N	N	N	N	Y
351	hsa-miR-1243-002854	Undetermined		N	N	N	Y	Y
352	hsa-miR-663B-002857	27.117	27.117	N	N	N	N	Y
353	hsa-miR-1252-002860	Undetermined		N	Y	N	Y	Y
354	hsa-miR-1298-002861	Undetermined		N	N	N	Y	Y
355	hsa-miR-1290-002863	25.400	25.400	N	N	N	N	N
356	hsa-miR-1249-002868	28.505	28.505	N	N	N	N	N
357	hsa-miR-1248-002870	Undetermined		N	Y	N	Y	Y
358	hsa-miR-1289-002871	Undetermined		N	Y	N	Y	Y
359	hsa-miR-1204-002872	Undetermined		N	N	N	Y	Y
360	hsa-miR-1826-002873	Undetermined		N	Y	N	Y	Y
361	hsa-miR-1304-002874	Undetermined		N	N	N	Y	Y
362	hsa-miR-1203-002877	Undetermined		N	Y	N	Y	Y
363	hsa-miR-1206-002878	Undetermined		N	Y	N	Y	Y
364	hsa-miR-548G-002879	Undetermined		N	N	N	Y	Y
365	hsa-miR-1208-002880	27.843	27.843	N	N	N	N	Y
366	hsa-miR-548E-002881	Undetermined		N	N	N	Y	Y
367	hsa-miR-1274A-002883	23.208	23.208	N	N	N	N	N
368	hsa-miR-1274B-002884	18.753	18.753	N	N	N	N	N
369	hsa-miR-1267-002885	33.257	33.257	N	N	N	N	N
370	hsa-miR-1250-002887	Undetermined		N	Y	N	Y	Y
371	hsa-miR-548N-002888	Undetermined		N	N	N	Y	Y
372	hsa-miR-1283-002890	Undetermined		N	Y	N	Y	Y
373	hsa-miR-1247-002893	29.873	29.873	N	N	N	N	Y
374	hsa-miR-1253-002894	Undetermined		N	N	N	Y	Y
375	hsa-miR-720-002895	19.229	19.229	N	N	N	N	N
376	hsa-miR-1260-002896	25.332	25.332	N	N	N	N	N
377	hsa-miR-664-002897	23.927	23.927	N	N	N	N	N
378	hsa-miR-1302-002901	Undetermined		N	Y	N	Y	Y
379	hsa-miR-1300-002902	31.121	31.121	N	N	N	N	N
