* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-03-13 PP09027 Panel B.eds
* Experiment Name = 2012-03-13 PP09027 Panel B
* Experiment Run End Time = 2012-03-13 19:52:34 PM EDT
* Experiment Type = Standard Curve
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	NOAMP	EXPFAIL	THOLDFAIL
204	hsa-miR-944-002189	Undetermined	N	Y	Y
205	hsa-miR-99b#-002196	27.278	N	N	N
206	hsa-miR-124#-002197	Undetermined	Y	Y	Y
207	hsa-miR-541#-002200	Undetermined	Y	Y	Y
208	hsa-miR-875-5p-002203	35.760	N	N	Y
209	hsa-miR-888#-002213	Undetermined	Y	Y	Y
210	hsa-miR-892b-002214	33.277	N	N	N
211	hsa-miR-9#-002231	27.159	N	N	N
212	hsa-miR-411#-002238	Undetermined	Y	Y	Y
213	hsa-miR-378-002243	25.221	N	N	N
214	hsa-miR-151-3p-002254	20.278	N	N	N
215	hsa-miR-340#-002259	28.707	N	N	N
216	hsa-miR-190b-002263	30.977	N	N	N
217	hsa-miR-545#-002266	31.862	N	N	N
218	hsa-miR-183#-002270	26.909	N	N	N
219	hsa-miR-192#-002272	32.706	N	N	N
220	hsa-miR-200b#-002274	Undetermined	Y	Y	Y
221	hsa-miR-200c#-002286	Undetermined	Y	Y	Y
222	hsa-miR-155#-002287	Undetermined	Y	Y	Y
223	hsa-miR-10a#-002288	28.758	N	N	N
224	hsa-miR-214#-002293	28.802	N	N	N
225	hsa-miR-218-2#-002294	Undetermined	Y	Y	Y
226	hsa-miR-129#-002298	Undetermined	Y	Y	Y
227	hsa-miR-22#-002301	23.690	N	N	N
228	hsa-miR-425#-002302	24.700	N	N	N
229	hsa-miR-30d#-002305	28.066	N	N	N
230	hsa-let-7a#-002307	Undetermined	N	Y	Y
231	hsa-miR-424#-002309	26.048	N	N	N
232	hsa-miR-18b#-002310	Undetermined	Y	Y	Y
233	hsa-miR-20b#-002311	Undetermined	Y	Y	Y
234	hsa-miR-431#-002312	Undetermined	N	Y	Y
235	hsa-miR-7-2#-002314	29.455	N	N	N
236	hsa-miR-10b#-002315	25.253	N	N	N
237	hsa-miR-34a#-002316	28.215	N	N	N
238	hsa-miR-181a-2#-002317	29.376	N	N	N
239	hsa-miR-744#-002325	30.763	N	N	N
240	hsa-miR-452#-002330	Undetermined	Y	Y	Y
241	hsa-miR-409-3p-002332	19.922	N	N	N
242	hsa-miR-181c#-002333	28.384	N	N	Y
243	hsa-miR-196a#-002336	Undetermined	Y	Y	Y
244	hsa-miR-483-3p-002339	27.216	N	N	N
245	hsa-miR-708#-002342	Undetermined	Y	Y	Y
246	hsa-miR-92b#-002343	Undetermined	Y	Y	Y
247	hsa-miR-551b#-002346	33.379	N	N	Y
248	hsa-miR-202#-002362	Undetermined	Y	Y	Y
249	hsa-miR-193b#-002366	25.934	N	N	N
250	hsa-miR-497#-002368	Undetermined	Y	Y	Y
251	hsa-miR-518e#-002371	Undetermined	Y	Y	Y
252	hsa-miR-543-002376	25.379	N	N	N
253	hsa-miR-125b-1#-002378	Undetermined	N	Y	Y
254	hsa-miR-194#-002379	Undetermined	Y	Y	Y
255	hsa-miR-106b#-002380	25.275	N	N	N
256	hsa-miR-302a#-002381	Undetermined	Y	Y	Y
257	hsa-miR-519b-3p-002384	Undetermined	N	N	Y
258	hsa-miR-518f#-002387	Undetermined	Y	Y	Y
259	hsa-miR-374b#-002391	Undetermined	Y	Y	Y
260	hsa-miR-520c-3p-002400	32.081	N	N	N
261	hsa-let-7b#-002404	Undetermined	N	Y	Y
262	hsa-let-7c#-002405	Undetermined	Y	Y	Y
263	hsa-let-7e#-002407	Undetermined	Y	Y	Y
264	hsa-miR-550-002410	31.376	N	N	N
265	hsa-miR-593-002411	Undetermined	Y	Y	Y
266	hsa-let-7f-1#-002417	Undetermined	Y	Y	Y
267	hsa-let-7f-2#-002418	29.690	N	N	N
268	hsa-miR-15a#-002419	25.276	N	N	N
269	hsa-miR-16-1#-002420	28.049	N	N	N
270	hsa-miR-17#-002421	31.287	N	N	N
271	hsa-miR-18a#-002423	32.226	N	N	N
272	hsa-miR-19a#-002424	32.967	N	N	N
273	hsa-miR-19b-1#-002425	30.511	N	N	N
274	hsa-miR-625#-002432	23.524	N	N	N
275	hsa-miR-628-3p-002434	27.778	N	N	N
276	hsa-miR-20a#-002437	31.005	N	N	N
277	hsa-miR-21#-002438	28.423	N	N	N
278	hsa-miR-23a#-002439	Undetermined	Y	Y	Y
279	hsa-miR-24-1#-002440	Undetermined	Y	Y	Y
280	hsa-miR-24-2#-002441	34.151	N	N	Y
281	hsa-miR-25#-002442	27.533	N	N	Y
282	hsa-miR-26a-1#-002443	27.052	N	N	N
283	hsa-miR-26b#-002444	26.718	N	N	N
284	hsa-miR-27a#-002445	28.993	N	N	N
285	hsa-miR-29a#-002447	Undetermined	Y	Y	Y
286	hsa-miR-151-5P-002642	26.175	N	N	N
287	hsa-miR-765-002643	Undetermined	Y	Y	Y
288	hsa-miR-338-5P-002658	28.835	N	N	N
289	hsa-miR-620-002672	Undetermined	Y	Y	Y
290	hsa-miR-577-002675	Undetermined	N	Y	Y
291	hsa-miR-144-002676	23.871	N	N	Y
292	hsa-miR-590-3P-002677	28.590	N	N	N
293	hsa-miR-191#-002678	29.173	N	N	N
294	hsa-miR-665-002681	Undetermined	Y	Y	Y
295	hsa-miR-520D-3P-002743	32.236	N	N	N
296	hsa-miR-1224-3P-002752	Undetermined	Y	Y	Y
297	has-miR-1305-002867	32.743	N	N	N
298	hsa-miR-513C-002756	Undetermined	Y	Y	Y
299	hsa-miR-513B-002757	Undetermined	Y	Y	Y
300	hsa-miR-1226#-002758	Undetermined	Y	Y	Y
301	hsa-miR-1236-002761	Undetermined	Y	Y	Y
302	hsa-miR-1228#-002763	Undetermined	N	Y	Y
303	hsa-miR-1225-3P-002766	Undetermined	Y	Y	Y
304	hsa-miR-1233-002768	Undetermined	N	Y	Y
305	hsa-miR-1227-002769	27.308	N	N	N
306	hsa-miR-1286-002773	Undetermined	Y	Y	Y
307	hsa-miR-548M-002775	Undetermined	Y	Y	Y
308	hsa-miR-1179-002776	32.428	N	N	N
309	hsa-miR-1178-002777	Undetermined	Y	Y	Y
310	hsa-miR-1205-002778	Undetermined	Y	Y	Y
311	hsa-miR-1271-002779	26.839	N	N	N
312	hsa-miR-1201-002781	Undetermined	Y	Y	Y
313	hsa-miR-548J-002783	Undetermined	Y	Y	Y
314	hsa-miR-1263-002784	Undetermined	Y	Y	Y
315	hsa-miR-1294-002785	Undetermined	N	Y	Y
316	hsa-miR-1269-002789	Undetermined	Y	Y	Y
317	hsa-miR-1265-002790	Undetermined	Y	Y	Y
318	hsa-miR-1244-002791	Undetermined	Y	Y	Y
319	hsa-miR-1303-002792	29.968	N	N	N
320	hsa-miR-1259-002796	Undetermined	Y	Y	Y
321	hsa-miR-548P-002798	Undetermined	Y	Y	Y
322	hsa-miR-1264-002799	Undetermined	Y	Y	Y
323	hsa-miR-1255B-002801	27.876	N	N	N
324	hsa-miR-1282-002803	Undetermined	Y	Y	Y
325	hsa-miR-1255A-002805	Undetermined	Y	Y	Y
326	hsa-miR-1270-002807	30.450	N	N	N
327	hsa-miR-1197-002810	29.189	N	N	N
328	hsa-miR-1324-002815	Undetermined	Y	Y	Y
329	hsa-miR-548H-002816	Undetermined	Y	Y	Y
330	hsa-miR-1254-002818	33.237	N	N	N
331	hsa-miR-548K-002819	Undetermined	Y	Y	Y
332	hsa-miR-1251-002820	Undetermined	Y	Y	Y
333	hsa-miR-1285-002822	30.027	N	N	N
334	hsa-miR-1245-002823	Undetermined	Y	Y	Y
335	hsa-miR-1292-002824	Undetermined	Y	Y	Y
336	hsa-miR-1301-002827	34.499	N	N	N
337	hsa-miR-1200-002829	Undetermined	Y	Y	Y
338	hsa-miR-1182-002830	Undetermined	Y	Y	Y
339	hsa-miR-1288-002832	Undetermined	N	N	Y
340	hsa-miR-1291-002838	28.158	N	N	N
341	hsa-miR-1275-002840	Undetermined	N	Y	Y
342	hsa-miR-1183-002841	30.284	N	N	Y
343	hsa-miR-1184-002842	Undetermined	Y	Y	Y
344	hsa-miR-1276-002843	Undetermined	Y	Y	Y
345	hsa-miR-320B-002844	22.489	N	N	N
346	hsa-miR-1272-002845	Undetermined	Y	Y	Y
347	hsa-miR-1180-002847	26.872	N	N	N
348	hsa-miR-1256-002850	Undetermined	Y	Y	Y
349	hsa-miR-1278-002851	Undetermined	Y	Y	Y
350	hsa-miR-1262-002852	Undetermined	N	Y	Y
351	hsa-miR-1243-002854	39.262	N	N	Y
352	hsa-miR-663B-002857	34.075	N	N	Y
353	hsa-miR-1252-002860	Undetermined	Y	Y	Y
354	hsa-miR-1298-002861	Undetermined	N	Y	Y
355	hsa-miR-1290-002863	24.175	N	N	N
356	hsa-miR-1249-002868	Undetermined	N	Y	Y
357	hsa-miR-1248-002870	Undetermined	Y	Y	Y
358	hsa-miR-1289-002871	Undetermined	Y	Y	Y
359	hsa-miR-1204-002872	Undetermined	Y	Y	Y
360	hsa-miR-1826-002873	Undetermined	Y	Y	Y
361	hsa-miR-1304-002874	Undetermined	Y	Y	Y
362	hsa-miR-1203-002877	Undetermined	Y	Y	Y
363	hsa-miR-1206-002878	Undetermined	Y	Y	Y
364	hsa-miR-548G-002879	Undetermined	Y	Y	Y
365	hsa-miR-1208-002880	28.626	N	N	Y
366	hsa-miR-548E-002881	Undetermined	Y	Y	Y
367	hsa-miR-1274A-002883	23.243	N	N	N
368	hsa-miR-1274B-002884	20.177	N	N	N
369	hsa-miR-1267-002885	34.397	N	N	N
370	hsa-miR-1250-002887	Undetermined	Y	Y	Y
371	hsa-miR-548N-002888	Undetermined	Y	Y	Y
372	hsa-miR-1283-002890	Undetermined	Y	Y	Y
373	hsa-miR-1247-002893	25.852	N	N	Y
374	hsa-miR-1253-002894	Undetermined	Y	Y	Y
375	hsa-miR-720-002895	20.380	N	N	N
376	hsa-miR-1260-002896	26.342	N	N	N
377	hsa-miR-664-002897	25.169	N	N	N
378	hsa-miR-1302-002901	Undetermined	Y	Y	Y
379	hsa-miR-1300-002902	33.233	N	N	N
380	hsa-miR-1284-002903	Undetermined	Y	Y	Y
381	hsa-miR-548L-002904	Undetermined	Y	Y	Y
382	hsa-miR-1293-002905	Undetermined	Y	Y	Y
383	hsa-miR-1825-002907	28.378	N	N	Y
384	hsa-miR-1296-002908	Undetermined	N	Y	Y
