* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-06-28 PP09091A.eds
* Experiment Name = 2012-06-28 PP09091A
* Experiment Run End Time = 2012-06-29 11:35:33 AM EDT
* Experiment Type = Comparative Cт (ΔΔCт) 
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	Ct Mean	BADROX	NOAMP	EXPFAIL	THOLDFAIL
64	hsa-miR-125a-3p-4395310	33.528	33.528	N	N	N	N
65	hsa-miR-125a-5p-4395309	24.569	24.569	N	N	N	N
66	hsa-miR-125b-4373148	23.220	23.220	N	N	N	N
67	hsa-miR-126-4395339	14.504	14.504	N	N	N	N
68	hsa-miR-127-3p-4373147	23.092	23.092	N	N	N	N
69	hsa-miR-127-5p-4395340	Undetermined		N	Y	Y	Y
70	hsa-miR-128-4395327	23.892	23.892	N	N	N	N
71	hsa-miR-129-3p-4373297	Undetermined		N	N	Y	Y
72	hsa-miR-129-5p-4373171	Undetermined		N	Y	Y	Y
73	hsa-miR-130a-4373145	20.324	20.324	N	N	N	N
74	hsa-miR-130b-4373144	20.778	20.778	N	N	N	N
75	hsa-miR-132-4373143	22.250	22.250	N	N	N	N
76	hsa-miR-133a-4395357	20.324	20.324	N	N	N	N
77	hsa-miR-133b-4395358	26.276	26.276	N	N	N	N
78	hsa-miR-134-4373299	24.910	24.910	N	N	N	N
79	hsa-miR-135a-4373140	27.106	27.106	N	N	N	N
80	hsa-miR-135b-4395372	31.561	31.561	N	N	N	N
81	hsa-miR-136-4373173	34.732	34.732	N	N	N	N
82	hsa-miR-137-4373301	Undetermined		N	Y	Y	Y
83	hsa-miR-138-4395395	30.588	30.588	N	N	N	N
84	hsa-miR-139-3p-4395424	21.519	21.519	N	N	N	N
85	hsa-miR-139-5p-4395400	18.975	18.975	N	N	N	N
86	hsa-miR-140-3p-4395345	23.194	23.194	N	N	N	N
87	hsa-miR-140-5p-4373374	21.792	21.792	N	N	N	N
88	hsa-miR-141-4373137	27.865	27.865	N	N	N	N
89	hsa-miR-142-3p-4373136	17.130	17.130	N	N	N	N
90	hsa-miR-142-5p-4395359	23.447	23.447	N	N	N	N
91	hsa-miR-143-4395360	23.371	23.371	N	N	N	N
92	hsa-miR-145-4395389	21.826	21.826	N	N	N	N
93	hsa-miR-146a-4373132	15.125	15.125	N	N	N	N
94	hsa-miR-146b-3p-4395472	27.276	27.276	N	N	N	N
95	hsa-miR-146b-5p-4373178	19.169	19.169	N	N	N	N
96	hsa-miR-147b-4395373	Undetermined		N	Y	Y	Y
97	hsa-miR-148a-4373130	22.386	22.386	N	N	N	N
98	hsa-miR-148b-4373129	23.488	23.488	N	N	N	N
99	hsa-miR-149-4395366	28.927	28.927	N	N	N	Y
100	hsa-miR-150-4373127	16.934	16.934	N	N	N	N
101	hsa-miR-152-4395170	21.494	21.494	N	N	N	N
102	hsa-miR-153-4373305	Undetermined		N	N	Y	Y
103	hsa-miR-154-4373270	Undetermined		N	Y	Y	Y
104	hsa-miR-181a-4373117	22.269	22.269	N	N	N	N
105	hsa-miR-181c-4373115	30.085	30.085	N	N	N	N
106	hsa-miR-182-4395445	34.799	34.799	N	N	N	N
107	RNU48-4373383	Undetermined		N	Y	Y	Y
108	hsa-miR-183-4395380	29.270	29.270	N	N	N	N
109	hsa-miR-184-4373113	26.307	26.307	N	N	N	N
110	hsa-miR-185-4395382	20.449	20.449	N	N	N	N
111	hsa-miR-186-4395396	21.372	21.372	N	N	N	N
112	hsa-miR-187-4373307	Undetermined		N	N	Y	Y
113	hsa-miR-188-3p-4395217	Undetermined		N	N	Y	Y
114	hsa-miR-190-4373110	32.047	32.047	N	N	N	N
115	hsa-miR-191-4395410	14.753	14.753	N	N	N	N
116	hsa-miR-192-4373108	23.460	23.460	N	N	N	N
117	hsa-miR-193a-3p-4395361	32.358	32.358	N	N	N	N
118	hsa-miR-193a-5p-4395392	23.794	23.794	N	N	N	N
119	hsa-miR-193b-4395478	22.301	22.301	N	N	N	N
120	hsa-miR-194-4373106	26.549	26.549	N	N	N	N
121	hsa-miR-195-4373105	25.436	25.436	N	N	N	N
122	hsa-miR-196b-4395326	28.822	28.822	N	N	N	N
123	hsa-miR-197-4373102	19.139	19.139	N	N	N	N
124	hsa-miR-198-4395384	Undetermined		N	N	Y	Y
125	hsa-miR-199a-5p-4373272	25.415	25.415	N	N	N	N
126	hsa-miR-199a-3p-4395415	18.524	18.524	N	N	N	N
127	hsa-miR-199b-5p-4373100	29.351	29.351	N	N	N	N
128	hsa-miR-200a-4378069	24.986	24.986	N	N	N	N
129	hsa-miR-200b-4395362	26.293	26.293	N	N	N	Y
130	hsa-miR-200c-4395411	23.043	23.043	N	N	N	N
131	hsa-miR-202-4395474	33.281	33.281	N	N	N	N
132	hsa-miR-203-4373095	25.431	25.431	N	N	N	N
133	hsa-miR-204-4373094	27.264	27.264	N	N	N	N
134	hsa-miR-205-4373093	24.219	24.219	N	N	N	N
135	hsa-miR-208b-4395401	Undetermined		N	N	Y	Y
136	hsa-miR-210-4373089	19.759	19.759	N	N	N	N
137	hsa-miR-214-4395417	27.917	27.917	N	N	N	N
138	hsa-miR-215-4373084	26.852	26.852	N	N	N	N
139	hsa-miR-216a-4395331	28.439	28.439	N	N	N	N
140	hsa-miR-216b-4395437	Undetermined		N	Y	Y	Y
141	hsa-miR-217-4395448	Undetermined		N	Y	Y	Y
142	hsa-miR-218-4373081	25.819	25.819	N	N	N	N
143	hsa-miR-219-5p-4373080	Undetermined		N	Y	Y	Y
144	hsa-miR-221-4373077	18.007	18.007	N	N	N	N
145	hsa-miR-222-4395387	18.072	18.072	N	N	N	N
146	hsa-miR-223-4395406	11.191	11.191	N	N	N	N
147	hsa-miR-224-4395210	23.781	23.781	N	N	N	N
148	hsa-miR-296-3p-4395212	Undetermined		N	N	Y	Y
149	hsa-miR-296-5p-4373066	26.206	26.206	N	N	N	N
150	hsa-miR-299-3p-4373189	Undetermined		N	N	Y	Y
151	hsa-miR-299-5p-4373188	Undetermined		N	N	Y	Y
152	hsa-miR-301a-4373064	23.003	23.003	N	N	N	N
153	hsa-miR-301b-4395503	27.385	27.385	N	N	N	N
154	hsa-miR-302a-4378070	20.872	20.872	N	N	N	Y
155	ath-miR159a-4373390	14.192	14.192	N	N	N	N
156	hsa-miR-302b-4378071	24.551	24.551	N	N	N	Y
157	hsa-miR-302c-4378072	28.440	28.440	N	N	N	N
158	hsa-miR-320-4395388	16.500	16.500	N	N	N	N
159	hsa-miR-323-3p-4395338	26.403	26.403	N	N	N	N
160	hsa-miR-324-3p-4395272	22.977	22.977	N	N	N	N
161	hsa-miR-324-5p-4373052	20.937	20.937	N	N	N	N
162	hsa-miR-326-4373050	33.427	33.427	N	N	N	N
163	hsa-miR-328-4373049	18.957	18.957	N	N	N	N
164	hsa-miR-329-4373191	31.458	31.458	N	N	N	N
165	hsa-miR-330-3p-4373047	24.291	24.291	N	N	N	Y
166	hsa-miR-330-5p-4395341	31.055	31.055	N	N	N	Y
167	hsa-miR-331-3p-4373046	19.601	19.601	N	N	N	N
168	hsa-miR-331-5p-4395344	29.707	29.707	N	N	N	N
169	hsa-miR-335-4373045	22.505	22.505	N	N	N	N
170	hsa-miR-337-5p-4395267	28.448	28.448	N	N	N	N
171	hsa-miR-338-3p-4395363	29.749	29.749	N	N	N	N
172	hsa-miR-339-3p-4395295	23.387	23.387	N	N	N	N
173	hsa-miR-339-5p-4395368	22.272	22.272	N	N	N	N
174	hsa-miR-340-4395369	24.289	24.289	N	N	N	N
175	has-miR-155-4395459	24.953	24.953	N	N	N	N
176	hsa-let-7b-4395446	19.001	19.001	N	N	N	N
177	hsa-miR-342-3p-4395371	19.034	19.034	N	N	N	N
178	hsa-miR-342-5p-4395258	31.551	31.551	N	N	N	N
179	hsa-miR-345-4395297	22.282	22.282	N	N	N	N
180	hsa-miR-361-5p-4373035	25.542	25.542	N	N	N	N
181	hsa-miR-362-3p-4395228	28.203	28.203	N	N	N	N
182	hsa-miR-362-5p-4378092	28.300	28.300	N	N	N	N
183	hsa-miR-363-4378090	25.266	25.266	N	N	N	N
184	hsa-miR-365-4373194	26.863	26.863	N	N	N	N
185	hsa-miR-367-4373034	22.315	22.315	N	N	N	N
186	hsa-miR-369-3p-4373032	Undetermined		N	Y	Y	Y
187	hsa-miR-369-5p-4373195	34.000	34.000	N	N	N	N
188	hsa-miR-370-4395386	22.877	22.877	N	N	N	N
189	hsa-miR-371-3p-4395235	Undetermined		N	Y	Y	Y
190	hsa-miR-372-4373029	25.703	25.703	N	N	N	Y
191	hsa-miR-373-4378073	34.245	34.245	N	N	N	Y
192	hsa-miR-374a-4373028	22.087	22.087	N	N	N	N
193	hsa-miR-374b-4381045	21.930	21.930	N	N	N	N
194	hsa-miR-375-4373027	23.811	23.811	N	N	N	N
195	hsa-miR-376a-4373026	24.277	24.277	N	N	N	N
196	hsa-miR-376b-4373196	Undetermined		N	N	Y	Y
197	hsa-miR-377-4373025	Undetermined		N	N	Y	Y
198	hsa-miR-379-4373349	27.626	27.626	N	N	N	N
199	hsa-miR-380-4373022	29.475	29.475	N	N	N	Y
200	hsa-miR-381-4373020	30.268	30.268	N	N	N	N
201	hsa-miR-382-4373019	23.940	23.940	N	N	N	N
202	hsa-miR-383-4373018	Undetermined		N	N	Y	Y
203	hsa-miR-409-5p-4395442	Undetermined		N	N	Y	Y
204	hsa-miR-410-4378093	26.875	26.875	N	N	N	N
205	hsa-miR-411-4381013	27.684	27.684	N	N	N	N
206	hsa-miR-422a-4395408	33.003	33.003	N	N	N	N
207	hsa-miR-423-5p-4395451	22.312	22.312	N	N	N	N
208	hsa-miR-424-4373201	32.271	32.271	N	N	N	N
209	hsa-miR-425-4380926	18.415	18.415	N	N	N	Y
210	hsa-miR-429-4373203	29.558	29.558	N	N	N	N
211	hsa-miR-431-4395173	31.254	31.254	N	N	N	N
212	hsa-miR-433-4373205	27.308	27.308	N	N	N	N
213	hsa-miR-449a-4373207	Undetermined		N	N	Y	Y
214	hsa-miR-449b-4381011	Undetermined		N	N	Y	Y
215	hsa-miR-450a-4395414	32.101	32.101	N	N	N	N
216	hsa-miR-450b-3p-4395319	Undetermined		N	Y	Y	Y
217	hsa-miR-450b-5p-4395318	30.146	30.146	N	N	N	N
218	hsa-miR-451-4373360	14.043	14.043	N	N	N	N
219	hsa-miR-452-4395440	27.964	27.964	N	N	N	N
220	hsa-miR-453-4395429	Undetermined		N	Y	Y	Y
221	hsa-miR-454-4395434	25.960	25.960	N	N	N	N
222	hsa-miR-455-3p-4395355	27.538	27.538	N	N	N	N
223	hsa-miR-455-5p-4378098	31.250	31.250	N	N	N	N
224	hsa-miR-483-5p-4395449	23.243	23.243	N	N	N	N
225	hsa-miR-484-4381032	14.425	14.425	N	N	N	N
226	hsa-miR-485-3p-4378095	28.291	28.291	N	N	N	N
227	hsa-miR-485-5p-4373212	30.365	30.365	N	N	N	Y
228	hsa-miR-486-3p-4395204	26.231	26.231	N	N	N	N
229	hsa-miR-486-5p-4378096	21.331	21.331	N	N	N	N
230	hsa-miR-487a-4378097	Undetermined		N	N	Y	Y
231	hsa-miR-487b-4378102	28.235	28.235	N	N	N	N
232	hsa-miR-488-4395468	Undetermined		N	Y	Y	Y
233	hsa-miR-489-4395469	30.930	30.930	N	N	N	N
234	hsa-miR-490-3p-4373215	30.171	30.171	N	N	N	Y
235	hsa-miR-491-3p-4395471	Undetermined		N	Y	Y	Y
236	hsa-miR-491-5p-4381053	26.131	26.131	N	N	N	N
237	hsa-miR-493-4395475	31.462	31.462	N	N	N	N
238	hsa-miR-494-4395476	29.090	29.090	N	N	N	N
239	hsa-miR-495-4381078	25.957	25.957	N	N	N	N
240	hsa-miR-496-4386771	Undetermined		N	Y	Y	Y
241	hsa-miR-499-3p-4395538	Undetermined		N	Y	Y	Y
242	hsa-miR-499-5p-4381047	Undetermined		N	Y	Y	Y
243	hsa-miR-500-4395539	27.603	27.603	N	N	N	N
244	hsa-miR-501-3p-4395546	28.985	28.985	N	N	N	Y
245	hsa-miR-501-5p-4373226	28.444	28.444	N	N	N	Y
246	hsa-miR-502-3p-4395194	29.165	29.165	N	N	N	N
247	hsa-miR-502-5p-4373227	32.780	32.780	N	N	N	Y
248	hsa-miR-503-4373228	Undetermined		N	Y	Y	Y
249	hsa-miR-504-4395195	32.225	32.225	N	N	N	N
250	hsa-miR-505-4395200	25.255	25.255	N	N	N	N
251	hsa-miR-507-4373232	Undetermined		N	Y	Y	Y
252	hsa-miR-508-3p-4373233	Undetermined		N	N	Y	Y
253	hsa-miR-508-5p-4395203	Undetermined		N	Y	Y	Y
254	hsa-miR-509-5p-4395346	Undetermined		N	N	Y	Y
255	hsa-miR-510-4395352	Undetermined		N	Y	Y	Y
256	hsa-miR-512-3p-4381034	32.569	32.569	N	N	N	Y
257	hsa-miR-512-5p-4373238	Undetermined		N	Y	Y	Y
258	hsa-miR-513-5p-4395201	Undetermined		N	Y	Y	Y
259	hsa-miR-515-3p-4395480	Undetermined		N	Y	Y	Y
260	hsa-miR-515-5p-4373242	Undetermined		N	N	Y	Y
261	hsa-miR-516a-5p-4395527	Undetermined		N	Y	Y	Y
262	hsa-miR-516b-4395172	Undetermined		N	Y	Y	Y
263	hsa-miR-517a-4395513	34.800	34.800	N	N	N	Y
264	hsa-miR-517c-4373264	Undetermined		N	N	Y	Y
265	hsa-miR-518a-3p-4395508	Undetermined		N	N	Y	Y
266	hsa-miR-518a-5p-4395507	Undetermined		N	Y	Y	Y
267	hsa-miR-518b-4373246	Undetermined		N	N	Y	Y
268	hsa-miR-518c-4395512	Undetermined		N	N	Y	Y
269	hsa-miR-518d-3p-4373248	Undetermined		N	N	Y	Y
270	hsa-miR-518d-5p-4395500	Undetermined		N	Y	Y	Y
271	hsa-miR-518e-4395506	Undetermined		N	N	Y	Y
272	hsa-miR-518f-4395499	23.540	23.540	N	N	N	N
273	hsa-miR-519a-4395526	Undetermined		N	N	N	Y
274	hsa-miR-519d-4395514	Undetermined		N	N	Y	Y
275	hsa-miR-519e-4395481	Undetermined		N	N	Y	Y
276	hsa-miR-520a-3p-4373268	Undetermined		N	Y	Y	Y
277	hsa-miR-520a-5p-4378085	Undetermined		N	Y	Y	Y
278	hsa-miR-520d-5p-4395504	31.792	31.792	N	N	N	Y
279	hsa-miR-520g-4373257	Undetermined		N	Y	Y	Y
280	hsa-miR-521-4373259	Undetermined		N	Y	Y	Y
281	hsa-miR-522-4395524	Undetermined		N	Y	Y	Y
282	hsa-miR-523-4395497	27.529	27.529	N	N	N	N
283	hsa-miR-524-5p-4395174	Undetermined		N	Y	Y	Y
284	hsa-miR-525-3p-4395496	Undetermined		N	Y	Y	Y
285	hsa-miR-525-5p-4378088	Undetermined		N	Y	Y	Y
286	hsa-miR-526b-4395493	Undetermined		N	Y	Y	Y
287	hsa-miR-532-3p-4395466	24.683	24.683	N	N	N	N
288	hsa-miR-532-5p-4380928	21.996	21.996	N	N	N	N
289	hsa-miR-539-4378103	27.054	27.054	N	N	N	N
290	hsa-miR-541-4395312	Undetermined		N	Y	Y	Y
291	hsa-miR-542-3p-4378101	29.754	29.754	N	N	N	N
292	hsa-miR-542-5p-4395351	34.642	34.642	N	N	N	Y
293	hsa-miR-544-4395376	34.203	34.203	N	N	N	N
294	hsa-miR-545-4395378	28.885	28.885	N	N	N	N
295	hsa-miR-548a-3p-4380948	31.088	31.088	N	N	N	N
296	hsa-miR-548a-5p-4395523	Undetermined		N	Y	Y	Y
297	hsa-miR-548b-3p-4380951	Undetermined		N	Y	Y	Y
298	hsa-miR-548b-5p-4395519	Undetermined		N	N	Y	Y
299	hsa-miR-548c-3p-4380993	33.915	33.915	N	N	N	N
300	hsa-miR-548c-5p-4395540	32.351	32.351	N	N	N	N
301	hsa-miR-548d-3p-4381008	32.913	32.913	N	N	N	N
302	hsa-miR-548d-5p-4395348	33.352	33.352	N	N	N	N
303	hsa-miR-551b-4380945	23.767	23.767	N	N	N	Y
304	hsa-miR-556-3p-4395456	Undetermined		N	Y	Y	Y
305	hsa-miR-556-5p-4395455	Undetermined		N	Y	Y	Y
306	hsa-miR-561-4380938	Undetermined		N	N	Y	Y
307	hsa-miR-570-4395458	32.730	32.730	N	N	N	N
308	hsa-miR-574-3p-4395460	19.742	19.742	N	N	N	N
309	hsa-miR-576-3p-4395462	27.759	27.759	N	N	N	N
310	hsa-miR-576-5p-4395461	29.538	29.538	N	N	N	Y
311	hsa-miR-579-4395509	27.389	27.389	N	N	N	N
312	hsa-miR-582-3p-4395510	Undetermined		N	Y	Y	Y
313	hsa-miR-582-5p-4395175	Undetermined		N	Y	Y	Y
314	hsa-miR-589-4395520	32.313	32.313	N	N	N	Y
315	hsa-miR-590-5p-4395176	22.342	22.342	N	N	N	N
316	hsa-miR-597-4380960	28.798	28.798	N	N	N	N
317	hsa-miR-598-4395179	25.374	25.374	N	N	N	N
318	hsa-miR-615-3p-4386777	Undetermined		N	N	Y	Y
319	hsa-miR-615-5p-4395464	Undetermined		N	Y	Y	Y
320	hsa-miR-616-4395525	27.263	27.263	N	N	N	N
321	hsa-miR-618-4380996	19.029	19.029	N	N	N	N
322	hsa-miR-624-4395541	Undetermined		N	Y	Y	Y
323	hsa-miR-625-4395542	26.201	26.201	N	N	N	N
324	hsa-miR-627-4380967	34.916	34.916	N	N	N	N
325	hsa-miR-628-5p-4395544	31.988	31.988	N	N	N	N
326	hsa-miR-629-4395547	26.868	26.868	N	N	N	N
327	hsa-miR-636-4395199	27.075	27.075	N	N	N	N
328	hsa-miR-642-4380995	25.989	25.989	N	N	N	N
329	hsa-miR-651-4381007	Undetermined		N	N	Y	Y
330	hsa-miR-652-4395463	21.734	21.734	N	N	N	N
331	hsa-miR-653-4395403	Undetermined		N	Y	Y	Y
332	hsa-miR-654-3p-4395350	35.273	35.273	N	N	N	N
333	hsa-miR-654-5p-4381014	29.697	29.697	N	N	N	Y
334	hsa-miR-655-4381015	34.667	34.667	N	N	N	Y
335	hsa-miR-660-4380925	20.763	20.763	N	N	N	N
336	hsa-miR-671-3p-4395433	26.813	26.813	N	N	N	N
337	hsa-miR-672-4395438	Undetermined		N	Y	Y	Y
338	hsa-miR-674-4395193	Undetermined		N	Y	Y	Y
339	hsa-miR-708-4395452	30.394	30.394	N	N	N	N
340	hsa-miR-744-4395435	21.509	21.509	N	N	N	N
341	hsa-miR-758-4395180	30.783	30.783	N	N	N	N
342	hsa-miR-871-4395465	Undetermined		N	Y	Y	Y
343	hsa-miR-872-4395375	Undetermined		N	N	Y	Y
344	hsa-miR-873-4395467	Undetermined		N	Y	Y	Y
345	hsa-miR-874-4395379	25.996	25.996	N	N	N	Y
346	hsa-miR-875-3p-4395315	Undetermined		N	N	Y	Y
347	hsa-miR-876-3p-4395336	Undetermined		N	Y	Y	Y
348	hsa-miR-876-5p-4395316	Undetermined		N	Y	Y	Y
349	hsa-miR-885-3p-4395483	Undetermined		N	Y	Y	Y
350	hsa-miR-885-5p-4395407	21.976	21.976	N	N	N	N
351	hsa-miR-886-3p-4395305	27.895	27.895	N	N	N	N
352	hsa-miR-886-5p-4395304	25.909	25.909	N	N	N	N
353	hsa-miR-887-4395485	Undetermined		N	Y	Y	Y
354	hsa-miR-888-4395323	Undetermined		N	Y	Y	Y
355	hsa-miR-889-4395313	27.779	27.779	N	N	N	N
356	hsa-miR-890-4395320	Undetermined		N	Y	Y	Y
357	hsa-miR-891a-4395302	Undetermined		N	Y	Y	Y
358	hsa-miR-891b-4395321	Undetermined		N	Y	Y	Y
359	hsa-miR-892a-4395306	Undetermined		N	Y	Y	Y
360	hsa-miR-147-4373131	33.227	33.227	N	N	N	N
361	hsa-miR-208-4373091	19.109	19.109	N	N	N	Y
362	hsa-miR-211-4373088	30.782	30.782	N	N	N	N
363	hsa-miR-212-4373087	28.549	28.549	N	N	N	N
364	hsa-miR-219-1-3p-4395206	Undetermined		N	Y	Y	Y
365	hsa-miR-219-2-3p-4395501	Undetermined		N	Y	Y	Y
366	hsa-miR-220-4373078	Undetermined		N	Y	Y	Y
367	hsa-miR-220b-4395317	Undetermined		N	Y	Y	Y
368	hsa-miR-220c-4395322	27.895	27.895	N	N	N	N
369	hsa-miR-298-4395301	Undetermined		N	Y	Y	Y
370	hsa-miR-325-4373051	Undetermined		N	Y	Y	Y
371	hsa-miR-346-4373038	Undetermined		N	Y	Y	Y
372	hsa-miR-376c-4395233	23.457	23.457	N	N	N	N
373	hsa-miR-384-4373017	Undetermined		N	Y	Y	Y
374	hsa-miR-412-4373199	Undetermined		N	Y	Y	Y
375	hsa-miR-448-4373206	Undetermined		N	Y	Y	Y
376	hsa-miR-492-4373217	Undetermined		N	Y	Y	Y
377	hsa-miR-506-4373231	Undetermined		N	Y	Y	Y
378	hsa-miR-509-3-5p-4395266	Undetermined		N	Y	Y	Y
379	hsa-miR-511-4373236	26.001	26.001	N	N	N	N
380	hsa-miR-517b-4373244	Undetermined		N	N	Y	Y
381	hsa-miR-519c-3p-4373251	Undetermined		N	Y	Y	Y
382	hsa-miR-520b-4373252	Undetermined		N	N	Y	Y
383	hsa-miR-520e-4373255	Undetermined		N	N	Y	Y
384	hsa-miR-520f-4373256	28.100	28.100	N	N	N	N

Analysis Type = Singleplex
Endogenous Control = hsa-miR-451-4373360
RQ Min/Max Confidence Level = 95.0
Reference Sample = Sample01

