* Block Type = Array Card Block
* Calibration Background is expired  = Yes
* Calibration Background performed on  = 2011-10-14 14:32:12 PM EDT
* Calibration FAM is expired  = Yes
* Calibration FAM performed on  = 2011-10-14 14:49:51 PM EDT
* Calibration ROI is expired  = Yes
* Calibration ROI performed on  = 2011-10-14 14:23:27 PM EDT
* Calibration ROX is expired  = Yes
* Calibration ROX performed on  = 2011-10-14 14:57:46 PM EDT
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on  = 2011-10-14 14:41:41 PM EDT
* Calibration VIC is expired  = Yes
* Calibration VIC performed on  = 2011-10-14 15:05:24 PM EDT
* Chemistry = TAQMAN
* Experiment File Name = C:\Documents and Settings\Administrator\Desktop\USERS\Pancreas 3_12\2012-03-12PP09025Panel A.eds
* Experiment Name = 2012-03-12P09025A
* Experiment Run End Time = 2012-03-12 14:58:02 PM EDT
* Experiment Type = Standard Curve
* Instrument Name = AmbrosViiA7
* Instrument Serial Number = 278880816
* Instrument Type = ViiA 7
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = false
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2

[Results]
Well	Target Name	CT	NOAMP	EXPFAIL
84	hsa-miR-139-3p-4395424	24.000	N	N
85	hsa-miR-139-5p-4395400	21.985	N	N
86	hsa-miR-140-3p-4395345	26.534	N	N
87	hsa-miR-140-5p-4373374	20.867	N	N
88	hsa-miR-141-4373137	35.258	N	N
89	hsa-miR-142-3p-4373136	20.810	N	N
90	hsa-miR-142-5p-4395359	25.531	N	N
91	hsa-miR-143-4395360	24.992	N	N
92	hsa-miR-145-4395389	23.500	N	N
93	hsa-miR-146a-4373132	14.270	N	N
94	hsa-miR-146b-3p-4395472	33.883	N	N
95	hsa-miR-146b-5p-4373178	18.961	N	N
96	hsa-miR-147b-4395373	Undetermined	Y	Y
97	hsa-miR-148a-4373130	23.287	N	N
98	hsa-miR-148b-4373129	25.505	N	N
99	hsa-miR-149-4395366	Undetermined	Y	Y
100	hsa-miR-150-4373127	19.154	N	N
101	hsa-miR-152-4395170	22.598	N	N
102	hsa-miR-153-4373305	Undetermined	Y	Y
103	hsa-miR-154-4373270	Undetermined	N	Y
104	hsa-miR-181a-4373117	31.156	N	N
105	hsa-miR-181c-4373115	Undetermined	N	N
106	hsa-miR-182-4395445	Undetermined	N	N
107	RNU48-4373383	33.085	N	N
108	hsa-miR-183-4395380	Undetermined	N	N
109	hsa-miR-184-4373113	27.529	N	N
110	hsa-miR-185-4395382	21.588	N	N
111	hsa-miR-186-4395396	20.242	N	N
112	hsa-miR-187-4373307	Undetermined	Y	Y
113	hsa-miR-188-3p-4395217	Undetermined	Y	Y
114	hsa-miR-190-4373110	32.008	N	N
115	hsa-miR-191-4395410	15.192	N	N
116	hsa-miR-192-4373108	21.671	N	N
117	hsa-miR-193a-3p-4395361	Undetermined	Y	Y
118	hsa-miR-193a-5p-4395392	28.178	N	N
119	hsa-miR-193b-4395478	24.919	N	N
120	hsa-miR-194-4373106	28.452	N	N
121	hsa-miR-195-4373105	25.391	N	N
122	hsa-miR-196b-4395326	Undetermined	N	Y
123	hsa-miR-197-4373102	22.676	N	N
124	hsa-miR-198-4395384	Undetermined	Y	Y
125	hsa-miR-199a-5p-4373272	28.045	N	N
126	hsa-miR-199a-3p-4395415	20.280	N	N
127	hsa-miR-199b-5p-4373100	28.256	N	N
128	hsa-miR-200a-4378069	Undetermined	N	N
129	hsa-miR-200b-4395362	Undetermined	N	N
130	hsa-miR-200c-4395411	30.480	N	N
131	hsa-miR-202-4395474	Undetermined	N	N
132	hsa-miR-203-4373095	28.424	N	N
133	hsa-miR-204-4373094	30.511	N	N
134	hsa-miR-205-4373093	Undetermined	N	N
135	hsa-miR-208b-4395401	Undetermined	N	Y
136	hsa-miR-210-4373089	25.994	N	N
137	hsa-miR-214-4395417	34.336	N	N
138	hsa-miR-215-4373084	35.574	N	N
139	hsa-miR-216a-4395331	Undetermined	Y	Y
140	hsa-miR-216b-4395437	Undetermined	Y	Y
141	hsa-miR-217-4395448	Undetermined	Y	Y
142	hsa-miR-218-4373081	28.289	N	N
143	hsa-miR-219-5p-4373080	Undetermined	Y	Y
144	hsa-miR-221-4373077	20.786	N	N
145	hsa-miR-222-4395387	17.122	N	N
146	hsa-miR-223-4395406	11.854	N	N
147	hsa-miR-224-4395210	26.240	N	N
148	hsa-miR-296-3p-4395212	Undetermined	N	Y
149	hsa-miR-296-5p-4373066	28.981	N	N
150	hsa-miR-299-3p-4373189	Undetermined	N	Y
151	hsa-miR-299-5p-4373188	Undetermined	N	Y
152	hsa-miR-301a-4373064	25.378	N	N
153	hsa-miR-301b-4395503	28.126	N	N
154	hsa-miR-302a-4378070	33.499	N	N
155	ath-miR159a-4373390	19.387	N	N
156	hsa-miR-302b-4378071	Undetermined	Y	Y
157	hsa-miR-302c-4378072	Undetermined	Y	Y
158	hsa-miR-320-4395388	20.677	N	N
159	hsa-miR-323-3p-4395338	26.967	N	N
160	hsa-miR-324-3p-4395272	30.396	N	N
161	hsa-miR-324-5p-4373052	23.282	N	N
162	hsa-miR-326-4373050	Undetermined	Y	Y
163	hsa-miR-328-4373049	21.710	N	N
164	hsa-miR-329-4373191	30.136	N	N
165	hsa-miR-330-3p-4373047	38.914	N	N
166	hsa-miR-330-5p-4395341	Undetermined	N	Y
167	hsa-miR-331-3p-4373046	25.691	N	N
168	hsa-miR-331-5p-4395344	Undetermined	N	N
169	hsa-miR-335-4373045	21.770	N	N
170	hsa-miR-337-5p-4395267	29.931	N	N
171	hsa-miR-338-3p-4395363	36.293	N	N
172	hsa-miR-339-3p-4395295	24.541	N	N
173	hsa-miR-339-5p-4395368	Undetermined	N	N
174	hsa-miR-340-4395369	23.935	N	N
175	has-miR-155-4395459	24.655	N	N
176	hsa-let-7b-4395446	22.239	N	N
177	hsa-miR-342-3p-4395371	23.368	N	N
178	hsa-miR-342-5p-4395258	Undetermined	N	Y
179	hsa-miR-345-4395297	24.067	N	N
180	hsa-miR-361-5p-4373035	24.805	N	N
181	hsa-miR-362-3p-4395228	28.874	N	N
182	hsa-miR-362-5p-4378092	Undetermined	N	N
183	hsa-miR-363-4378090	28.028	N	N
184	hsa-miR-365-4373194	29.587	N	N
185	hsa-miR-367-4373034	39.667	N	N
186	hsa-miR-369-3p-4373032	Undetermined	Y	Y
187	hsa-miR-369-5p-4373195	39.914	N	N
188	hsa-miR-370-4395386	24.560	N	N
189	hsa-miR-371-3p-4395235	Undetermined	Y	Y
190	hsa-miR-372-4373029	Undetermined	Y	Y
191	hsa-miR-373-4378073	33.851	N	N
192	hsa-miR-374a-4373028	22.414	N	N
193	hsa-miR-374b-4381045	22.898	N	N
194	hsa-miR-375-4373027	30.423	N	N
195	hsa-miR-376a-4373026	20.359	N	N
196	hsa-miR-376b-4373196	Undetermined	Y	Y
197	hsa-miR-377-4373025	Undetermined	Y	Y
198	hsa-miR-379-4373349	28.959	N	N
199	hsa-miR-380-4373022	Undetermined	N	Y
200	hsa-miR-381-4373020	31.246	N	N
201	hsa-miR-382-4373019	24.359	N	N
202	hsa-miR-383-4373018	Undetermined	N	N
203	hsa-miR-409-5p-4395442	35.434	N	N
204	hsa-miR-410-4378093	25.599	N	N
205	hsa-miR-411-4381013	26.465	N	N
206	hsa-miR-422a-4395408	35.246	N	N
207	hsa-miR-423-5p-4395451	24.854	N	N
208	hsa-miR-424-4373201	Undetermined	N	N
209	hsa-miR-425-4380926	38.782	N	N
210	hsa-miR-429-4373203	30.946	N	N
211	hsa-miR-431-4395173	28.104	N	N
212	hsa-miR-433-4373205	24.874	N	N
213	hsa-miR-449a-4373207	Undetermined	N	Y
214	hsa-miR-449b-4381011	Undetermined	Y	Y
215	hsa-miR-450a-4395414	Undetermined	N	Y
216	hsa-miR-450b-3p-4395319	Undetermined	Y	Y
217	hsa-miR-450b-5p-4395318	Undetermined	N	N
218	hsa-miR-451-4373360	17.667	N	N
219	hsa-miR-452-4395440	30.065	N	N
220	hsa-miR-453-4395429	Undetermined	N	N
221	hsa-miR-454-4395434	24.121	N	N
222	hsa-miR-455-3p-4395355	Undetermined	N	Y
223	hsa-miR-455-5p-4378098	Undetermined	Y	Y
224	hsa-miR-483-5p-4395449	22.265	N	N
225	hsa-miR-484-4381032	16.061	N	N
226	hsa-miR-485-3p-4378095	32.471	N	N
227	hsa-miR-485-5p-4373212	Undetermined	N	Y
228	hsa-miR-486-3p-4395204	26.887	N	N
229	hsa-miR-486-5p-4378096	23.234	N	N
230	hsa-miR-487a-4378097	Undetermined	N	Y
231	hsa-miR-487b-4378102	27.367	N	N
232	hsa-miR-488-4395468	Undetermined	Y	Y
233	hsa-miR-489-4395469	32.762	N	N
234	hsa-miR-490-3p-4373215	Undetermined	Y	Y
235	hsa-miR-491-3p-4395471	Undetermined	Y	Y
236	hsa-miR-491-5p-4381053	26.889	N	N
237	hsa-miR-493-4395475	38.314	N	N
238	hsa-miR-494-4395476	26.352	N	N
239	hsa-miR-495-4381078	23.282	N	N
240	hsa-miR-496-4386771	Undetermined	N	Y
241	hsa-miR-499-3p-4395538	Undetermined	Y	Y
242	hsa-miR-499-5p-4381047	Undetermined	Y	Y
243	hsa-miR-500-4395539	Undetermined	Y	Y
244	hsa-miR-501-3p-4395546	Undetermined	N	N
245	hsa-miR-501-5p-4373226	Undetermined	N	Y
246	hsa-miR-502-3p-4395194	30.049	N	N
247	hsa-miR-502-5p-4373227	Undetermined	N	Y
248	hsa-miR-503-4373228	Undetermined	Y	Y
249	hsa-miR-504-4395195	Undetermined	Y	Y
250	hsa-miR-505-4395200	Undetermined	Y	Y
251	hsa-miR-507-4373232	Undetermined	Y	Y
252	hsa-miR-508-3p-4373233	Undetermined	Y	Y
253	hsa-miR-508-5p-4395203	Undetermined	Y	Y
254	hsa-miR-509-5p-4395346	Undetermined	N	N
255	hsa-miR-510-4395352	Undetermined	Y	Y
256	hsa-miR-512-3p-4381034	Undetermined	N	Y
257	hsa-miR-512-5p-4373238	Undetermined	Y	Y
258	hsa-miR-513-5p-4395201	Undetermined	N	Y
259	hsa-miR-515-3p-4395480	Undetermined	Y	Y
260	hsa-miR-515-5p-4373242	Undetermined	N	Y
261	hsa-miR-516a-5p-4395527	Undetermined	Y	Y
262	hsa-miR-516b-4395172	Undetermined	N	Y
263	hsa-miR-517a-4395513	Undetermined	N	N
264	hsa-miR-517c-4373264	Undetermined	N	N
265	hsa-miR-518a-3p-4395508	Undetermined	N	N
266	hsa-miR-518a-5p-4395507	Undetermined	Y	Y
267	hsa-miR-518b-4373246	36.462	N	N
268	hsa-miR-518c-4395512	Undetermined	Y	Y
269	hsa-miR-518d-3p-4373248	Undetermined	N	Y
270	hsa-miR-518d-5p-4395500	Undetermined	Y	Y
271	hsa-miR-518e-4395506	Undetermined	N	Y
272	hsa-miR-518f-4395499	33.460	N	N
273	hsa-miR-519a-4395526	Undetermined	N	N
274	hsa-miR-519d-4395514	37.936	N	N
275	hsa-miR-519e-4395481	Undetermined	N	N
276	hsa-miR-520a-3p-4373268	Undetermined	N	Y
277	hsa-miR-520a-5p-4378085	Undetermined	Y	Y
278	hsa-miR-520d-5p-4395504	Undetermined	Y	Y
279	hsa-miR-520g-4373257	Undetermined	N	Y
280	hsa-miR-521-4373259	35.977	N	N
281	hsa-miR-522-4395524	Undetermined	N	N
282	hsa-miR-523-4395497	30.041	N	N
283	hsa-miR-524-5p-4395174	Undetermined	Y	Y
284	hsa-miR-525-3p-4395496	Undetermined	Y	Y
285	hsa-miR-525-5p-4378088	Undetermined	N	N
286	hsa-miR-526b-4395493	Undetermined	Y	Y
287	hsa-miR-532-3p-4395466	26.889	N	N
288	hsa-miR-532-5p-4380928	28.190	N	N
289	hsa-miR-539-4378103	22.825	N	N
290	hsa-miR-541-4395312	Undetermined	N	Y
291	hsa-miR-542-3p-4378101	36.947	N	N
292	hsa-miR-542-5p-4395351	Undetermined	Y	Y
293	hsa-miR-544-4395376	Undetermined	Y	Y
294	hsa-miR-545-4395378	38.980	N	N
295	hsa-miR-548a-3p-4380948	Undetermined	N	N
296	hsa-miR-548a-5p-4395523	Undetermined	Y	Y
297	hsa-miR-548b-3p-4380951	Undetermined	Y	Y
298	hsa-miR-548b-5p-4395519	Undetermined	Y	Y
299	hsa-miR-548c-3p-4380993	Undetermined	Y	Y
300	hsa-miR-548c-5p-4395540	Undetermined	Y	Y
301	hsa-miR-548d-3p-4381008	Undetermined	Y	Y
302	hsa-miR-548d-5p-4395348	Undetermined	Y	Y
303	hsa-miR-551b-4380945	31.841	N	N
304	hsa-miR-556-3p-4395456	Undetermined	Y	Y
305	hsa-miR-556-5p-4395455	Undetermined	Y	Y
306	hsa-miR-561-4380938	Undetermined	Y	Y
307	hsa-miR-570-4395458	Undetermined	N	Y
308	hsa-miR-574-3p-4395460	21.653	N	N
309	hsa-miR-576-3p-4395462	30.061	N	N
310	hsa-miR-576-5p-4395461	Undetermined	Y	Y
311	hsa-miR-579-4395509	Undetermined	Y	Y
312	hsa-miR-582-3p-4395510	Undetermined	N	Y
313	hsa-miR-582-5p-4395175	Undetermined	Y	Y
314	hsa-miR-589-4395520	Undetermined	Y	Y
315	hsa-miR-590-5p-4395176	23.608	N	N
316	hsa-miR-597-4380960	30.751	N	N
317	hsa-miR-598-4395179	26.110	N	N
318	hsa-miR-615-3p-4386777	Undetermined	N	N
319	hsa-miR-615-5p-4395464	Undetermined	Y	Y
320	hsa-miR-616-4395525	35.494	N	N
321	hsa-miR-618-4380996	33.098	N	N
322	hsa-miR-624-4395541	Undetermined	Y	Y
323	hsa-miR-625-4395542	28.727	N	N
324	hsa-miR-627-4380967	34.577	N	N
325	hsa-miR-628-5p-4395544	27.294	N	N
326	hsa-miR-629-4395547	Undetermined	N	Y
327	hsa-miR-636-4395199	38.125	N	N
328	hsa-miR-642-4380995	32.777	N	N
329	hsa-miR-651-4381007	Undetermined	Y	Y
330	hsa-miR-652-4395463	24.076	N	N
331	hsa-miR-653-4395403	Undetermined	Y	Y
332	hsa-miR-654-3p-4395350	30.985	N	N
333	hsa-miR-654-5p-4381014	31.868	N	N
334	hsa-miR-655-4381015	28.487	N	N
335	hsa-miR-660-4380925	23.404	N	N
336	hsa-miR-671-3p-4395433	29.683	N	N
337	hsa-miR-672-4395438	Undetermined	N	Y
338	hsa-miR-674-4395193	Undetermined	Y	Y
339	hsa-miR-708-4395452	37.086	N	N
340	hsa-miR-744-4395435	22.580	N	N
341	hsa-miR-758-4395180	33.617	N	N
342	hsa-miR-871-4395465	Undetermined	Y	Y
343	hsa-miR-872-4395375	Undetermined	Y	Y
344	hsa-miR-873-4395467	Undetermined	N	Y
345	hsa-miR-874-4395379	Undetermined	N	N
346	hsa-miR-875-3p-4395315	Undetermined	Y	Y
347	hsa-miR-876-3p-4395336	Undetermined	Y	Y
348	hsa-miR-876-5p-4395316	Undetermined	Y	Y
349	hsa-miR-885-3p-4395483	Undetermined	N	Y
350	hsa-miR-885-5p-4395407	26.853	N	N
351	hsa-miR-886-3p-4395305	30.943	N	N
352	hsa-miR-886-5p-4395304	26.000	N	N
353	hsa-miR-887-4395485	Undetermined	Y	Y
354	hsa-miR-888-4395323	Undetermined	N	N
355	hsa-miR-889-4395313	27.563	N	N
356	hsa-miR-890-4395320	Undetermined	Y	Y
357	hsa-miR-891a-4395302	39.776	N	N
358	hsa-miR-891b-4395321	Undetermined	Y	Y
359	hsa-miR-892a-4395306	Undetermined	Y	Y
360	hsa-miR-147-4373131	Undetermined	N	N
361	hsa-miR-208-4373091	Undetermined	Y	Y
362	hsa-miR-211-4373088	Undetermined	N	Y
363	hsa-miR-212-4373087	29.683	N	N
364	hsa-miR-219-1-3p-4395206	Undetermined	Y	Y
365	hsa-miR-219-2-3p-4395501	Undetermined	Y	Y
366	hsa-miR-220-4373078	Undetermined	N	Y
367	hsa-miR-220b-4395317	Undetermined	N	Y
368	hsa-miR-220c-4395322	34.246	N	N
369	hsa-miR-298-4395301	Undetermined	Y	Y
370	hsa-miR-325-4373051	Undetermined	Y	Y
371	hsa-miR-346-4373038	Undetermined	Y	Y
372	hsa-miR-376c-4395233	22.729	N	N
373	hsa-miR-384-4373017	Undetermined	Y	Y
374	hsa-miR-412-4373199	Undetermined	Y	Y
375	hsa-miR-448-4373206	Undetermined	Y	Y
376	hsa-miR-492-4373217	Undetermined	Y	Y
377	hsa-miR-506-4373231	Undetermined	Y	Y
378	hsa-miR-509-3-5p-4395266	Undetermined	Y	Y
379	hsa-miR-511-4373236	Undetermined	N	Y
380	hsa-miR-517b-4373244	Undetermined	Y	Y
381	hsa-miR-519c-3p-4373251	35.174	N	N
382	hsa-miR-520b-4373252	Undetermined	N	Y
383	hsa-miR-520e-4373255	Undetermined	Y	Y
384	hsa-miR-520f-4373256	Undetermined	N	N
