DirectoryCombine.py

Well	Target_Name	003	029	157	174	197
75	hsa-miR-132-4373143A	25.448	26.4	26.623	27.007	27.419
76	hsa-miR-133a-4395357A	24.715	26.027	26.925	25.979	26.112
77	hsa-miR-133b-4395358A	30.791	30.33	31.981	30.718	29.893
78	hsa-miR-134-4373299A	38.043	37.96	Undetermined	38.551	Undetermined
79	hsa-miR-135a-4373140A	28.506	28.707	27.306	28.59	29.572
80	hsa-miR-135b-4395372A	33.834	30.253	30.35	30.82	30.436
81	hsa-miR-136-4373173A	37.408	Undetermined	36.641	38.644	38.266
82	hsa-miR-137-4373301A	27.927	30.655	28.039	31.945	33.238
83	hsa-miR-138-4395395A	28.988	28.89	27.703	28.612	28.379
84	hsa-miR-139-3p-4395424A	29.055	29.046	33.468	29.881	29.065
85	hsa-miR-139-5p-4395400A	28.985	30.41	28.493	28.511	29.677
86	hsa-miR-140-3p-4395345A	34.647	Undetermined	36.66	Undetermined	37.278
87	hsa-miR-140-5p-4373374A	28.25	27.629	28.767	27.852	28.488
88	hsa-miR-141-4373137A	28.55	27.153	28.684	29.217	27.677
89	hsa-miR-142-3p-4373136A	26.399	27.735	27.246	27.689	27.86
90	hsa-miR-142-5p-4395359A	37.18	39.392	35.009	35.267	Undetermined
91	hsa-miR-143-4395360A	27.832	31.183	26.256	30.408	30.4
92	hsa-miR-145-4395389A	28.122	28.553	28.476	28.871	28.066
93	hsa-miR-146a-4373132A	24.422	26.671	25.689	25.14	26.425
94	hsa-miR-146b-3p-4395472A	28.861	29.34	28.571	28.229	28.388
95	hsa-miR-146b-5p-4373178A	26.636	26.747	27.239	26.349	26.898
96	hsa-miR-147b-4395373A	36.673	31.801	32.472	Undetermined	Undetermined
97	hsa-miR-148a-4373130A	28.475	28.319	28.823	27.725	27.519
98	hsa-miR-148b-4373129A	31.62	30.972	31.856	39.47	33.049
99	hsa-miR-149-4395366A	Undetermined	28.291	32.676	31.017	Undetermined
100	hsa-miR-150-4373127A	21.009	25.831	23.961	20.414	23.91
101	hsa-miR-152-4395170A	24.545	25.095	25.718	25.331	25.768
102	hsa-miR-153-4373305A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
103	hsa-miR-154-4373270A	Undetermined	Undetermined	38.844	Undetermined	Undetermined
104	hsa-miR-181a-4373117A	32.664	30.727	30.538	32.659	33.84
105	hsa-miR-181c-4373115A	34.225	35.816	38.622	37.725	Undetermined
106	hsa-miR-182-4395445A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
107	RNU48-4373383A	28.945	Undetermined	36.335	31.148	Undetermined
108	hsa-miR-183-4395380A	Undetermined	36.049	Undetermined	Undetermined	Undetermined
109	hsa-miR-184-4373113A	24.892	24.938	24.682	24.134	24.291
110	hsa-miR-185-4395382A	37.163	36.47	33.932	Undetermined	Undetermined
111	hsa-miR-186-4395396A	26.481	26.788	27.44	27.128	27.551
112	hsa-miR-187-4373307A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
113	hsa-miR-188-3p-4395217A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
114	hsa-miR-190-4373110A	29.255	29.211	30.003	30.248	29.399
115	hsa-miR-191-4395410A	26.037	24.936	26.486	26.302	26.337
116	hsa-miR-192-4373108A	25.877	25.303	25.879	26.832	25.269
117	hsa-miR-193a-3p-4395361A	37.394	Undetermined	38.015	Undetermined	39.276
118	hsa-miR-193a-5p-4395392A	29.029	29.527	29.166	29.076	30.074
119	hsa-miR-193b-4395478A	24.919	24.087	26.123	25.407	26.583
120	hsa-miR-194-4373106A	27.418	26.188	28.354	29.011	27.301
121	hsa-miR-195-4373105A	25.642	28.484	26.931	28.538	27.043
122	hsa-miR-196b-4395326A	Undetermined	31.162	35.659	Undetermined	Undetermined
123	hsa-miR-197-4373102A	28.049	30.835	28.881	33.934	38.077
124	hsa-miR-198-4395384A	30.998	30.225	31.867	30.204	30.704
125	hsa-miR-199a-5p-4373272A	31.087	Undetermined	Undetermined	Undetermined	33.909
126	hsa-miR-199a-3p-4395415A	27.699	31.965	30.248	32.157	30.713
127	hsa-miR-199b-5p-4373100A	Undetermined	Undetermined	Undetermined	Undetermined	38.436
128	hsa-miR-200a-4378069A	Undetermined	27.716	Undetermined	Undetermined	38.779
129	hsa-miR-200b-4395362A	39.557	27.801	39.186	Undetermined	36.78
130	hsa-miR-200c-4395411A	31.921	25.083	31.399	31.727	30.994
131	hsa-miR-202-4395474A	28.933	24.395	29.237	24.876	24.59
132	hsa-miR-203-4373095A	24.218	21.195	23.678	24.858	24.721
133	hsa-miR-204-4373094A	21.039	22.548	19.762	21.191	21.591
134	hsa-miR-205-4373093A	27.959	25.397	29.623	29.012	29.144
135	hsa-miR-208b-4395401A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
136	hsa-miR-210-4373089A	Undetermined	31.24	Undetermined	Undetermined	Undetermined
137	hsa-miR-214-4395417A	29.338	31.036	31.067	31.551	31.34
138	hsa-miR-215-4373084A	27.436	26.953	27.633	27.403	27.39
139	hsa-miR-216a-4395331A	Undetermined	38.427	36.609	Undetermined	Undetermined
140	hsa-miR-216b-4395437A	28.908	28.013	28.361	28.895	29.456
141	hsa-miR-217-4395448A	31.4	33.864	32.18	36.347	34.901
142	hsa-miR-218-4373081A	25.137	26.222	25.527	26.656	25.806
143	hsa-miR-219-5p-4373080A	Undetermined	36.561	31.602	Undetermined	Undetermined
144	hsa-miR-221-4373077A	30.842	29.142	32.005	32.823	34.816
145	hsa-miR-222-4395387A	25.542	23.888	26.937	26.508	26.412
146	hsa-miR-223-4395406A	23.401	19.868	24.593	24.972	25.131
147	hsa-miR-224-4395210A	28.748	28.208	28.429	29.955	29.618
148	hsa-miR-296-3p-4395212A	Undetermined	35.735	Undetermined	Undetermined	Undetermined
149	hsa-miR-296-5p-4373066A	27.197	29.25	28.422	28.199	28.346
150	hsa-miR-299-3p-4373189A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
151	hsa-miR-299-5p-4373188A	35.909	Undetermined	35.047	36.96	34.996
152	hsa-miR-301a-4373064A	28.484	28.95	28.795	28.102	27.983
153	hsa-miR-301b-4395503A	29.643	31.681	30.284	30.019	28.894
154	hsa-miR-302a-4378070A	28.812	27.21	27.803	28.738	28.159
155	ath-miR159a-4373390A	16.144	17.199	15.717	16.737	17.843
156	hsa-miR-302b-4378071A	27.052	32.048	26.42	28.327	30.218
157	hsa-miR-302c-4378072A	25.2	25.071	25.301	25.83	25.383
158	hsa-miR-320-4395388A	24.251	26.277	25.997	26.124	26.732
159	hsa-miR-323-3p-4395338A	30.937	29.512	31.825	32.002	30.597
160	hsa-miR-324-3p-4395272A	32.953	31.015	31.877	31.117	31.305
161	hsa-miR-324-5p-4373052A	26.661	26.408	25.694	26.989	26.915
162	hsa-miR-326-4373050A	39.589	36.674	36.153	34.574	36.996
163	hsa-miR-328-4373049A	24.196	24.697	24.531	24.81	24.408
164	hsa-miR-329-4373191A	33.993	33.56	33.836	35.537	34.239
165	hsa-miR-330-3p-4373047A	31.968	29.735	31.4	30.771	31.442
166	hsa-miR-330-5p-4395341A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
167	hsa-miR-331-3p-4373046A	25.848	24.81	25.562	25.772	26.299
168	hsa-miR-331-5p-4395344A	33.054	34.378	32.792	33.935	33.631
169	hsa-miR-335-4373045A	27.095	29.165	27.57	28.264	27.348
170	hsa-miR-337-5p-4395267A	36.192	34.737	32.652	33.012	Undetermined
171	hsa-miR-338-3p-4395363A	Undetermined	36.241	Undetermined	Undetermined	Undetermined
172	hsa-miR-339-3p-4395295A	29.303	29.874	30.347	29.877	31.003
173	hsa-miR-339-5p-4395368A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
174	hsa-miR-340-4395369A	33.158	32.09	31.628	33.212	32.183
175	has-miR-155-4395459A	28.154	31.681	29.937	30.672	32.061
176	hsa-let-7b-4395446A	26.286	26.967	29.06	29.0	27.41
177	hsa-miR-342-3p-4395371A	26.487	29.892	28.942	29.002	30.499
178	hsa-miR-342-5p-4395258A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
179	hsa-miR-345-4395297A	26.295	26.43	27.0	26.868	26.954
180	hsa-miR-361-5p-4373035A	29.918	Undetermined	29.912	29.231	33.545
181	hsa-miR-362-3p-4395228A	32.177	37.119	31.011	37.518	33.782
182	hsa-miR-362-5p-4378092A	33.654	31.572	34.177	32.224	38.766
183	hsa-miR-363-4378090A	28.039	28.488	28.694	30.159	27.656
184	hsa-miR-365-4373194A	27.271	28.001	30.517	30.131	28.834
185	hsa-miR-367-4373034A	26.162	26.972	25.94	26.098	26.15
186	hsa-miR-369-3p-4373032A	Undetermined	Undetermined	36.012	Undetermined	Undetermined
187	hsa-miR-369-5p-4373195A	37.545	32.691	33.308	34.731	32.414
188	hsa-miR-370-4395386A	31.072	29.096	30.301	33.206	31.294
189	hsa-miR-371-3p-4395235A	33.012	37.31	33.112	35.32	Undetermined
190	hsa-miR-372-4373029A	25.886	25.417	26.63	24.67	25.073
191	hsa-miR-373-4378073A	33.353	36.91	37.343	36.05	34.712
192	hsa-miR-374a-4373028A	29.124	28.801	29.183	28.425	28.835
193	hsa-miR-374b-4381045A	31.563	29.361	33.5	30.155	32.342
194	hsa-miR-375-4373027A	26.676	23.509	27.206	26.942	26.749
195	hsa-miR-376a-4373026A	26.093	26.409	27.466	26.123	26.36
196	hsa-miR-376b-4373196A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
197	hsa-miR-377-4373025A	Undetermined	Undetermined	Undetermined	Undetermined	31.532
198	hsa-miR-379-4373349A	34.56	34.566	36.889	33.871	Undetermined
199	hsa-miR-380-4373022A	37.496	Undetermined	34.611	Undetermined	36.137
200	hsa-miR-381-4373020A	29.933	18.04	32.658	37.465	18.175
201	hsa-miR-382-4373019A	38.414	38.738	Undetermined	35.875	35.151
202	hsa-miR-383-4373018A	24.026	26.6	24.517	26.17	26.465
203	hsa-miR-409-5p-4395442A	36.025	37.04	Undetermined	Undetermined	Undetermined
204	hsa-miR-410-4378093A	28.916	29.483	28.832	30.445	29.546
205	hsa-miR-411-4381013A	26.52	27.435	26.893	26.4	27.066
206	hsa-miR-422a-4395408A	23.568	24.012	24.124	24.35	24.254
207	hsa-miR-423-5p-4395451A	31.929	29.945	32.84	31.596	34.487
208	hsa-miR-424-4373201A	32.727	Undetermined	30.49	Undetermined	Undetermined
209	hsa-miR-425-4380926A	Undetermined	30.777	Undetermined	Undetermined	Undetermined
210	hsa-miR-429-4373203A	35.088	30.476	33.9	30.392	32.268
211	hsa-miR-431-4395173A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
212	hsa-miR-433-4373205A	32.035	30.642	32.584	30.3	31.286
213	hsa-miR-449a-4373207A	33.456	37.192	33.368	32.96	35.837
214	hsa-miR-449b-4381011A	30.125	29.295	30.14	30.121	33.172
215	hsa-miR-450a-4395414A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
216	hsa-miR-450b-3p-4395319A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
217	hsa-miR-450b-5p-4395318A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
218	hsa-miR-451-4373360A	20.647	29.366	26.684	27.917	24.68
219	hsa-miR-452-4395440A	31.022	29.282	30.383	30.039	29.833
220	hsa-miR-453-4395429A	31.388	32.003	34.964	34.729	31.986
221	hsa-miR-454-4395434A	32.944	30.683	31.163	31.562	32.693
222	hsa-miR-455-3p-4395355A	29.726	30.264	30.03	33.664	31.921
223	hsa-miR-455-5p-4378098A	28.268	28.097	28.985	28.695	27.95
224	hsa-miR-483-5p-4395449A	25.303	26.927	26.06	25.85	25.686
225	hsa-miR-484-4381032A	24.155	24.455	26.468	25.874	25.168
226	hsa-miR-485-3p-4378095A	36.331	30.053	34.409	31.86	30.575
227	hsa-miR-485-5p-4373212A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
228	hsa-miR-486-3p-4395204A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
229	hsa-miR-486-5p-4378096A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
230	hsa-miR-487a-4378097A	39.582	Undetermined	39.132	35.768	35.8
231	hsa-miR-487b-4378102A	Undetermined	31.487	36.077	34.686	Undetermined
232	hsa-miR-488-4395468A	Undetermined	32.696	31.885	Undetermined	Undetermined
233	hsa-miR-489-4395469A	27.572	28.108	27.481	28.441	27.962
234	hsa-miR-490-3p-4373215A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
235	hsa-miR-491-3p-4395471A	Undetermined	31.748	33.316	Undetermined	Undetermined
236	hsa-miR-491-5p-4381053A	26.179	25.522	26.1	25.633	25.832
237	hsa-miR-493-4395475A	Undetermined	33.656	32.106	Undetermined	Undetermined
238	hsa-miR-494-4395476A	31.23	31.828	31.59	32.264	31.42
239	hsa-miR-495-4381078A	Undetermined	33.595	33.743	37.104	38.353
240	hsa-miR-496-4386771A	36.532	31.817	Undetermined	31.767	38.115
241	hsa-miR-499-3p-4395538A	38.822	Undetermined	Undetermined	Undetermined	Undetermined
242	hsa-miR-499-5p-4381047A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
243	hsa-miR-500-4395539A	Undetermined	32.246	34.439	38.537	Undetermined
244	hsa-miR-501-3p-4395546A	Undetermined	Undetermined	39.739	Undetermined	Undetermined
245	hsa-miR-501-5p-4373226A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
246	hsa-miR-502-3p-4395194A	32.594	33.161	32.261	34.585	33.136
247	hsa-miR-502-5p-4373227A	29.692	27.86	27.982	28.202	29.397
248	hsa-miR-503-4373228A	32.578	Undetermined	Undetermined	Undetermined	Undetermined
249	hsa-miR-504-4395195A	Undetermined	Undetermined	38.134	Undetermined	Undetermined
250	hsa-miR-505-4395200A	Undetermined	33.23	35.319	33.481	Undetermined
251	hsa-miR-507-4373232A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
252	hsa-miR-508-3p-4373233A	31.307	32.576	29.099	31.467	34.102
253	hsa-miR-508-5p-4395203A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
254	hsa-miR-509-5p-4395346A	25.897	26.782	27.108	26.63	27.208
255	hsa-miR-510-4395352A	28.662	29.432	29.276	28.442	29.076
256	hsa-miR-512-3p-4381034A	25.27	25.399	25.099	25.432	25.705
257	hsa-miR-512-5p-4373238A	Undetermined	36.753	34.556	37.278	Undetermined
258	hsa-miR-513-5p-4395201A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
259	hsa-miR-515-3p-4395480A	33.696	30.441	31.481	33.507	35.951
260	hsa-miR-515-5p-4373242A	Undetermined	Undetermined	Undetermined	34.018	Undetermined
261	hsa-miR-516a-5p-4395527A	Undetermined	33.751	Undetermined	Undetermined	Undetermined
262	hsa-miR-516b-4395172A	31.816	31.295	32.237	30.794	30.673
263	hsa-miR-517a-4395513A	31.938	29.988	31.407	30.567	30.203
264	hsa-miR-517c-4373264A	30.346	29.832	32.404	30.881	29.981
265	hsa-miR-518a-3p-4395508A	32.95	33.481	34.287	34.789	32.815
266	hsa-miR-518a-5p-4395507A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
267	hsa-miR-518b-4373246A	33.666	35.937	34.097	36.581	34.454
268	hsa-miR-518c-4395512A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
269	hsa-miR-518d-3p-4373248A	34.83	33.609	34.358	34.375	35.645
270	hsa-miR-518d-5p-4395500A	Undetermined	Undetermined	36.175	Undetermined	38.402
271	hsa-miR-518e-4395506A	29.809	29.489	29.98	30.144	29.759
272	hsa-miR-518f-4395499A	29.964	29.333	32.276	29.467	29.227
273	hsa-miR-519a-4395526A	31.781	30.19	32.731	31.436	31.079
274	hsa-miR-519d-4395514A	31.001	Undetermined	31.232	37.476	39.582
275	hsa-miR-519e-4395481A	33.063	Undetermined	32.551	34.481	35.97
276	hsa-miR-520a-3p-4373268A	35.171	33.907	35.68	35.777	Undetermined
277	hsa-miR-520a-5p-4378085A	Undetermined	Undetermined	37.113	33.719	Undetermined
278	hsa-miR-520d-5p-4395504A	Undetermined	37.095	36.523	Undetermined	Undetermined
279	hsa-miR-520g-4373257A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
280	hsa-miR-521-4373259A	Undetermined	Undetermined	Undetermined	Undetermined	37.487
281	hsa-miR-522-4395524A	34.74	31.796	Undetermined	35.376	32.868
282	hsa-miR-523-4395497A	35.058	32.992	32.36	33.289	36.991
283	hsa-miR-524-5p-4395174A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
284	hsa-miR-525-3p-4395496A	31.242	31.882	31.782	31.279	31.258
285	hsa-miR-525-5p-4378088A	Undetermined	Undetermined	Undetermined	39.47	Undetermined
286	hsa-miR-526b-4395493A	33.7	26.722	34.355	26.741	26.967
287	hsa-miR-532-3p-4395466A	29.489	27.126	28.991	28.731	28.082
288	hsa-miR-532-5p-4380928A	34.722	27.438	28.355	30.113	33.228
289	hsa-miR-539-4378103A	33.043	27.893	31.041	29.566	28.391
290	hsa-miR-541-4395312A	33.965	32.424	31.279	33.946	33.344
291	hsa-miR-542-3p-4378101A	32.078	29.967	33.368	30.766	33.724
292	hsa-miR-542-5p-4395351A	34.504	32.525	33.76	32.882	38.285
293	hsa-miR-544-4395376A	Undetermined	34.034	Undetermined	Undetermined	Undetermined
294	hsa-miR-545-4395378A	35.762	Undetermined	38.089	32.191	33.683
295	hsa-miR-548a-3p-4380948A	34.455	31.356	33.359	32.949	32.37
296	hsa-miR-548a-5p-4395523A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
297	hsa-miR-548b-3p-4380951A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
298	hsa-miR-548b-5p-4395519A	Undetermined	36.493	31.974	36.719	36.924
299	hsa-miR-548c-3p-4380993A	34.499	31.958	33.846	37.364	32.289
300	hsa-miR-548c-5p-4395540A	39.127	35.821	35.128	37.012	39.216
301	hsa-miR-548d-3p-4381008A	31.223	31.085	33.615	Undetermined	33.924
302	hsa-miR-548d-5p-4395348A	Undetermined	37.69	Undetermined	37.519	37.072
303	hsa-miR-551b-4380945A	33.693	32.206	31.853	31.998	29.689
304	hsa-miR-556-3p-4395456A	Undetermined	Undetermined	33.884	34.892	Undetermined
305	hsa-miR-556-5p-4395455A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
306	hsa-miR-561-4380938A	Undetermined	Undetermined	35.475	Undetermined	39.18
307	hsa-miR-570-4395458A	32.813	34.851	34.673	32.606	33.112
308	hsa-miR-574-3p-4395460A	36.385	33.858	36.297	32.737	34.807
309	hsa-miR-576-3p-4395462A	25.704	29.359	26.296	28.43	29.716
310	hsa-miR-576-5p-4395461A	Undetermined	Undetermined	39.862	Undetermined	Undetermined
311	hsa-miR-579-4395509A	29.821	31.211	28.646	30.56	30.59
312	hsa-miR-582-3p-4395510A	30.635	32.331	30.814	33.763	32.292
313	hsa-miR-582-5p-4395175A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
314	hsa-miR-589-4395520A	34.897	31.646	32.829	32.396	32.899
315	hsa-miR-590-5p-4395176A	28.968	28.945	28.383	28.77	28.822
316	hsa-miR-597-4380960A	24.671	24.856	25.194	25.069	25.23
317	hsa-miR-598-4395179A	31.56	29.479	31.006	31.028	30.293
318	hsa-miR-615-3p-4386777A	Undetermined	38.729	Undetermined	Undetermined	Undetermined
319	hsa-miR-615-5p-4395464A	Undetermined	Undetermined	Undetermined	Undetermined	36.731
320	hsa-miR-616-4395525A	34.059	29.853	29.689	30.712	33.812
321	hsa-miR-618-4380996A	30.646	30.138	33.825	30.818	29.858
322	hsa-miR-624-4395541A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
323	hsa-miR-625-4395542A	38.386	33.504	35.795	34.86	36.017
324	hsa-miR-627-4380967A	Undetermined	36.994	36.66	35.042	34.283
325	hsa-miR-628-5p-4395544A	29.164	8.843	29.119	9.047	9.0
326	hsa-miR-629-4395547A	Undetermined	35.645	Undetermined	36.225	Undetermined
327	hsa-miR-636-4395199A	30.037	29.339	29.927	30.03	30.285
328	hsa-miR-642-4380995A	27.108	27.771	26.917	26.801	27.048
329	hsa-miR-651-4381007A	Undetermined	35.567	Undetermined	35.106	Undetermined
330	hsa-miR-652-4395463A	33.707	36.633	38.091	36.521	36.683
331	hsa-miR-653-4395403A	30.965	30.676	31.049	29.801	29.522
332	hsa-miR-654-3p-4395350A	30.351	30.435	32.565	29.894	29.676
333	hsa-miR-654-5p-4381014A	33.854	33.84	35.151	37.171	37.255
334	hsa-miR-655-4381015A	32.395	34.424	32.725	33.326	33.387
335	hsa-miR-660-4380925A	29.9	30.524	29.059	30.935	32.671
336	hsa-miR-671-3p-4395433A	29.153	30.224	28.971	30.119	29.803
337	hsa-miR-672-4395438A	37.012	31.958	33.531	33.601	35.164
338	hsa-miR-674-4395193A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
339	hsa-miR-708-4395452A	27.407	27.865	27.702	27.748	27.607
340	hsa-miR-744-4395435A	33.895	33.699	32.769	32.586	33.663
341	hsa-miR-758-4395180A	30.439	25.963	33.026	26.047	24.941
342	hsa-miR-871-4395465A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
343	hsa-miR-872-4395375A	30.862	30.615	31.03	29.986	31.678
344	hsa-miR-873-4395467A	Undetermined	36.007	Undetermined	Undetermined	37.731
345	hsa-miR-874-4395379A	Undetermined	39.63	Undetermined	Undetermined	Undetermined
346	hsa-miR-875-3p-4395315A	30.945	30.065	29.183	30.677	30.903
347	hsa-miR-876-3p-4395336A	Undetermined	Undetermined	33.811	35.316	Undetermined
348	hsa-miR-876-5p-4395316A	Undetermined	35.049	36.513	37.426	Undetermined
349	hsa-miR-885-3p-4395483A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
350	hsa-miR-885-5p-4395407A	26.905	26.741	25.125	25.538	27.007
