DirectoryCombine.py

Well	Target_Name	003	029	157	174	197
81	hsa-miR-136-4373173A	8.326	Undetermined	7.627	9.405	8.94
82	hsa-miR-137-4373301A	-1.155	1.528	-0.975	2.706	3.912
83	hsa-miR-138-4395395A	-0.094	-0.237	-1.311	-0.627	-0.947
84	hsa-miR-139-3p-4395424A	-0.027	-0.081	4.454	0.642	-0.261
85	hsa-miR-139-5p-4395400A	-0.097	1.283	-0.521	-0.728	0.351
86	hsa-miR-140-3p-4395345A	5.565	Undetermined	7.646	Undetermined	7.952
87	hsa-miR-140-5p-4373374A	-0.832	-1.498	-0.247	-1.387	-0.838
88	hsa-miR-141-4373137A	-0.532	-1.974	-0.33	-0.022	-1.649
89	hsa-miR-142-3p-4373136A	-2.683	-1.392	-1.768	-1.55	-1.466
90	hsa-miR-142-5p-4395359A	8.098	10.265	5.995	6.028	Undetermined
91	hsa-miR-143-4395360A	-1.25	2.056	-2.758	1.169	1.074
92	hsa-miR-145-4395389A	-0.96	-0.574	-0.538	-0.368	-1.26
93	hsa-miR-146a-4373132A	-4.66	-2.456	-3.325	-4.099	-2.901
94	hsa-miR-146b-3p-4395472A	-0.221	0.213	-0.443	-1.01	-0.938
95	hsa-miR-146b-5p-4373178A	-2.446	-2.38	-1.775	-2.89	-2.428
96	hsa-miR-147b-4395373A	7.591	2.674	3.458	Undetermined	Undetermined
97	hsa-miR-148a-4373130A	-0.607	-0.808	-0.191	-1.514	-1.807
98	hsa-miR-148b-4373129A	2.538	1.845	2.842	10.231	3.723
99	hsa-miR-149-4395366A	Undetermined	-0.836	3.662	1.778	Undetermined
100	hsa-miR-150-4373127A	-8.073	-3.296	-5.053	-8.825	-5.416
101	hsa-miR-152-4395170A	-4.537	-4.032	-3.296	-3.908	-3.558
102	hsa-miR-153-4373305A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
103	hsa-miR-154-4373270A	Undetermined	Undetermined	9.83	Undetermined	Undetermined
104	hsa-miR-181a-4373117A	3.582	1.6	1.524	3.42	4.514
105	hsa-miR-181c-4373115A	5.143	6.689	9.608	8.486	Undetermined
106	hsa-miR-182-4395445A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
107	RNU48-4373383A	-0.137	Undetermined	7.321	1.909	Undetermined
108	hsa-miR-183-4395380A	Undetermined	6.922	Undetermined	Undetermined	Undetermined
109	hsa-miR-184-4373113A	-4.19	-4.189	-4.332	-5.105	-5.035
110	hsa-miR-185-4395382A	8.081	7.343	4.918	Undetermined	Undetermined
111	hsa-miR-186-4395396A	-2.601	-2.339	-1.574	-2.111	-1.775
112	hsa-miR-187-4373307A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
113	hsa-miR-188-3p-4395217A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
114	hsa-miR-190-4373110A	0.173	0.084	0.989	1.009	0.073
115	hsa-miR-191-4395410A	-3.045	-4.191	-2.528	-2.937	-2.989
116	hsa-miR-192-4373108A	-3.205	-3.824	-3.135	-2.407	-4.057
117	hsa-miR-193a-3p-4395361A	8.312	Undetermined	9.001	Undetermined	9.95
118	hsa-miR-193a-5p-4395392A	-0.053	0.4	0.152	-0.163	0.748
119	hsa-miR-193b-4395478A	-4.163	-5.04	-2.891	-3.832	-2.743
120	hsa-miR-194-4373106A	-1.664	-2.939	-0.66	-0.228	-2.025
121	hsa-miR-195-4373105A	-3.44	-0.643	-2.083	-0.701	-2.283
122	hsa-miR-196b-4395326A	Undetermined	2.035	6.645	Undetermined	Undetermined
123	hsa-miR-197-4373102A	-1.033	1.708	-0.133	4.695	8.751
124	hsa-miR-198-4395384A	1.916	1.098	2.853	0.965	1.378
125	hsa-miR-199a-5p-4373272A	2.005	Undetermined	Undetermined	Undetermined	4.583
126	hsa-miR-199a-3p-4395415A	-1.383	2.838	1.234	2.918	1.387
127	hsa-miR-199b-5p-4373100A	Undetermined	Undetermined	Undetermined	Undetermined	9.11
128	hsa-miR-200a-4378069A	Undetermined	-1.411	Undetermined	Undetermined	9.453
129	hsa-miR-200b-4395362A	10.475	-1.326	10.172	Undetermined	7.454
130	hsa-miR-200c-4395411A	2.839	-4.044	2.385	2.488	1.668
131	hsa-miR-202-4395474A	-0.149	-4.732	0.223	-4.363	-4.736
132	hsa-miR-203-4373095A	-4.864	-7.932	-5.336	-4.381	-4.605
133	hsa-miR-204-4373094A	-8.043	-6.579	-9.252	-8.048	-7.735
134	hsa-miR-205-4373093A	-1.123	-3.73	0.609	-0.227	-0.182
135	hsa-miR-208b-4395401A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
136	hsa-miR-210-4373089A	Undetermined	2.113	Undetermined	Undetermined	Undetermined
137	hsa-miR-214-4395417A	0.256	1.909	2.053	2.312	2.014
138	hsa-miR-215-4373084A	-1.646	-2.174	-1.381	-1.836	-1.936
139	hsa-miR-216a-4395331A	Undetermined	9.3	7.595	Undetermined	Undetermined
140	hsa-miR-216b-4395437A	-0.174	-1.114	-0.653	-0.344	0.13
141	hsa-miR-217-4395448A	2.318	4.737	3.166	7.108	5.575
142	hsa-miR-218-4373081A	-3.945	-2.905	-3.487	-2.583	-3.52
143	hsa-miR-219-5p-4373080A	Undetermined	7.434	2.588	Undetermined	Undetermined
144	hsa-miR-221-4373077A	1.76	0.015	2.991	3.584	5.49
145	hsa-miR-222-4395387A	-3.54	-5.239	-2.077	-2.731	-2.914
146	hsa-miR-223-4395406A	-5.681	-9.259	-4.421	-4.267	-4.195
147	hsa-miR-224-4395210A	-0.334	-0.919	-0.585	0.716	0.292
148	hsa-miR-296-3p-4395212A	Undetermined	6.608	Undetermined	Undetermined	Undetermined
149	hsa-miR-296-5p-4373066A	-1.885	0.123	-0.592	-1.04	-0.98
150	hsa-miR-299-3p-4373189A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
151	hsa-miR-299-5p-4373188A	6.827	Undetermined	6.033	7.721	5.67
152	hsa-miR-301a-4373064A	-0.598	-0.177	-0.219	-1.137	-1.343
153	hsa-miR-301b-4395503A	0.561	2.554	1.27	0.78	-0.432
154	hsa-miR-302a-4378070A	-0.27	-1.917	-1.211	-0.501	-1.167
155	ath-miR159a-4373390A	-12.938	-11.928	-13.297	-12.502	-11.483
156	hsa-miR-302b-4378071A	-2.03	2.921	-2.594	-0.912	0.892
157	hsa-miR-302c-4378072A	-3.882	-4.056	-3.713	-3.409	-3.943
158	hsa-miR-320-4395388A	-4.831	-2.85	-3.017	-3.115	-2.594
159	hsa-miR-323-3p-4395338A	1.855	0.385	2.811	2.763	1.271
160	hsa-miR-324-3p-4395272A	3.871	1.888	2.863	1.878	1.979
161	hsa-miR-324-5p-4373052A	-2.421	-2.719	-3.32	-2.25	-2.411
162	hsa-miR-326-4373050A	10.507	7.547	7.139	5.335	7.67
163	hsa-miR-328-4373049A	-4.886	-4.43	-4.483	-4.429	-4.918
164	hsa-miR-329-4373191A	4.911	4.433	4.822	6.298	4.913
165	hsa-miR-330-3p-4373047A	2.886	0.608	2.386	1.532	2.116
166	hsa-miR-330-5p-4395341A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
167	hsa-miR-331-3p-4373046A	-3.234	-4.317	-3.452	-3.467	-3.027
168	hsa-miR-331-5p-4395344A	3.972	5.251	3.778	4.696	4.305
169	hsa-miR-335-4373045A	-1.987	0.038	-1.444	-0.975	-1.978
170	hsa-miR-337-5p-4395267A	7.11	5.61	3.638	3.773	Undetermined
171	hsa-miR-338-3p-4395363A	Undetermined	7.114	Undetermined	Undetermined	Undetermined
172	hsa-miR-339-3p-4395295A	0.221	0.747	1.333	0.638	1.677
173	hsa-miR-339-5p-4395368A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
174	hsa-miR-340-4395369A	4.076	2.963	2.614	3.973	2.857
175	has-miR-155-4395459A	-0.928	2.554	0.923	1.433	2.735
176	hsa-let-7b-4395446A	-2.796	-2.16	0.046	-0.239	-1.916
177	hsa-miR-342-3p-4395371A	-2.595	0.765	-0.072	-0.237	1.173
178	hsa-miR-342-5p-4395258A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
179	hsa-miR-345-4395297A	-2.787	-2.697	-2.014	-2.371	-2.372
180	hsa-miR-361-5p-4373035A	0.836	Undetermined	0.898	-0.008	4.219
181	hsa-miR-362-3p-4395228A	3.095	7.992	1.997	8.279	4.456
182	hsa-miR-362-5p-4378092A	4.572	2.445	5.163	2.985	9.44
183	hsa-miR-363-4378090A	-1.043	-0.639	-0.32	0.92	-1.67
184	hsa-miR-365-4373194A	-1.811	-1.126	1.503	0.892	-0.492
185	hsa-miR-367-4373034A	-2.92	-2.155	-3.074	-3.141	-3.176
186	hsa-miR-369-3p-4373032A	Undetermined	Undetermined	6.998	Undetermined	Undetermined
187	hsa-miR-369-5p-4373195A	8.463	3.564	4.294	5.492	3.088
188	hsa-miR-370-4395386A	1.99	-0.031	1.287	3.967	1.968
189	hsa-miR-371-3p-4395235A	3.93	8.183	4.098	6.081	Undetermined
190	hsa-miR-372-4373029A	-3.196	-3.71	-2.384	-4.569	-4.253
191	hsa-miR-373-4378073A	4.271	7.783	8.329	6.811	5.386
192	hsa-miR-374a-4373028A	0.042	-0.326	0.169	-0.814	-0.491
193	hsa-miR-374b-4381045A	2.481	0.234	4.486	0.916	3.016
194	hsa-miR-375-4373027A	-2.406	-5.618	-1.808	-2.297	-2.577
195	hsa-miR-376a-4373026A	-2.989	-2.718	-1.548	-3.116	-2.966
196	hsa-miR-376b-4373196A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
197	hsa-miR-377-4373025A	Undetermined	Undetermined	Undetermined	Undetermined	2.206
198	hsa-miR-379-4373349A	5.478	5.439	7.875	4.632	Undetermined
199	hsa-miR-380-4373022A	8.414	Undetermined	5.597	Undetermined	6.811
200	hsa-miR-381-4373020A	0.851	-11.087	3.644	8.226	-11.151
201	hsa-miR-382-4373019A	9.332	9.611	Undetermined	6.636	5.825
202	hsa-miR-383-4373018A	-5.056	-2.527	-4.497	-3.069	-2.861
203	hsa-miR-409-5p-4395442A	6.943	7.913	Undetermined	Undetermined	Undetermined
204	hsa-miR-410-4378093A	-0.166	0.356	-0.182	1.206	0.22
205	hsa-miR-411-4381013A	-2.562	-1.692	-2.121	-2.839	-2.26
206	hsa-miR-422a-4395408A	-5.514	-5.115	-4.89	-4.889	-5.072
207	hsa-miR-423-5p-4395451A	2.847	0.818	3.826	2.357	5.161
208	hsa-miR-424-4373201A	3.645	Undetermined	1.476	Undetermined	Undetermined
209	hsa-miR-425-4380926A	Undetermined	1.65	Undetermined	Undetermined	Undetermined
210	hsa-miR-429-4373203A	6.006	1.349	4.886	1.153	2.942
211	hsa-miR-431-4395173A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
212	hsa-miR-433-4373205A	2.953	1.515	3.57	1.061	1.96
213	hsa-miR-449a-4373207A	4.374	8.065	4.354	3.721	6.511
214	hsa-miR-449b-4381011A	1.043	0.168	1.126	0.882	3.846
215	hsa-miR-450a-4395414A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
216	hsa-miR-450b-3p-4395319A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
217	hsa-miR-450b-5p-4395318A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
218	hsa-miR-451-4373360A	-8.435	0.239	-2.33	-1.322	-4.646
219	hsa-miR-452-4395440A	1.94	0.155	1.369	0.8	0.507
220	hsa-miR-453-4395429A	2.306	2.876	5.95	5.49	2.66
221	hsa-miR-454-4395434A	3.862	1.556	2.149	2.323	3.367
222	hsa-miR-455-3p-4395355A	0.644	1.137	1.016	4.425	2.595
223	hsa-miR-455-5p-4378098A	-0.814	-1.03	-0.029	-0.544	-1.376
224	hsa-miR-483-5p-4395449A	-3.779	-2.2	-2.954	-3.389	-3.64
225	hsa-miR-484-4381032A	-4.927	-4.672	-2.546	-3.365	-4.158
226	hsa-miR-485-3p-4378095A	7.249	0.926	5.395	2.621	1.249
227	hsa-miR-485-5p-4373212A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
228	hsa-miR-486-3p-4395204A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
229	hsa-miR-486-5p-4378096A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
230	hsa-miR-487a-4378097A	10.5	Undetermined	10.118	6.529	6.474
231	hsa-miR-487b-4378102A	Undetermined	2.36	7.063	5.447	Undetermined
232	hsa-miR-488-4395468A	Undetermined	3.569	2.871	Undetermined	Undetermined
233	hsa-miR-489-4395469A	-1.51	-1.019	-1.533	-0.798	-1.364
234	hsa-miR-490-3p-4373215A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
235	hsa-miR-491-3p-4395471A	Undetermined	2.621	4.302	Undetermined	Undetermined
236	hsa-miR-491-5p-4381053A	-2.903	-3.605	-2.914	-3.606	-3.494
237	hsa-miR-493-4395475A	Undetermined	4.529	3.092	Undetermined	Undetermined
238	hsa-miR-494-4395476A	2.148	2.701	2.576	3.025	2.094
239	hsa-miR-495-4381078A	Undetermined	4.468	4.729	7.865	9.027
240	hsa-miR-496-4386771A	7.45	2.69	Undetermined	2.528	8.789
241	hsa-miR-499-3p-4395538A	9.74	Undetermined	Undetermined	Undetermined	Undetermined
242	hsa-miR-499-5p-4381047A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
243	hsa-miR-500-4395539A	Undetermined	3.119	5.425	9.298	Undetermined
244	hsa-miR-501-3p-4395546A	Undetermined	Undetermined	10.725	Undetermined	Undetermined
245	hsa-miR-501-5p-4373226A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
246	hsa-miR-502-3p-4395194A	3.512	4.034	3.247	5.346	3.81
247	hsa-miR-502-5p-4373227A	0.61	-1.267	-1.032	-1.037	0.071
248	hsa-miR-503-4373228A	3.496	Undetermined	Undetermined	Undetermined	Undetermined
249	hsa-miR-504-4395195A	Undetermined	Undetermined	9.12	Undetermined	Undetermined
250	hsa-miR-505-4395200A	Undetermined	4.103	6.305	4.242	Undetermined
251	hsa-miR-507-4373232A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
252	hsa-miR-508-3p-4373233A	2.225	3.449	0.085	2.228	4.776
253	hsa-miR-508-5p-4395203A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
254	hsa-miR-509-5p-4395346A	-3.185	-2.345	-1.906	-2.609	-2.118
255	hsa-miR-510-4395352A	-0.42	0.305	0.262	-0.797	-0.25
256	hsa-miR-512-3p-4381034A	-3.812	-3.728	-3.915	-3.807	-3.621
257	hsa-miR-512-5p-4373238A	Undetermined	7.626	5.542	8.039	Undetermined
258	hsa-miR-513-5p-4395201A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
259	hsa-miR-515-3p-4395480A	4.614	1.314	2.467	4.268	6.625
260	hsa-miR-515-5p-4373242A	Undetermined	Undetermined	Undetermined	4.779	Undetermined
261	hsa-miR-516a-5p-4395527A	Undetermined	4.624	Undetermined	Undetermined	Undetermined
262	hsa-miR-516b-4395172A	2.734	2.168	3.223	1.555	1.347
263	hsa-miR-517a-4395513A	2.856	0.861	2.393	1.328	0.877
264	hsa-miR-517c-4373264A	1.264	0.705	3.39	1.642	0.655
265	hsa-miR-518a-3p-4395508A	3.868	4.354	5.273	5.55	3.489
266	hsa-miR-518a-5p-4395507A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
267	hsa-miR-518b-4373246A	4.584	6.81	5.083	7.342	5.128
268	hsa-miR-518c-4395512A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
269	hsa-miR-518d-3p-4373248A	5.748	4.482	5.344	5.136	6.319
270	hsa-miR-518d-5p-4395500A	Undetermined	Undetermined	7.161	Undetermined	9.076
271	hsa-miR-518e-4395506A	0.727	0.362	0.966	0.905	0.433
272	hsa-miR-518f-4395499A	0.882	0.206	3.262	0.228	-0.099
273	hsa-miR-519a-4395526A	2.699	1.063	3.717	2.197	1.753
274	hsa-miR-519d-4395514A	1.919	Undetermined	2.218	8.237	10.256
275	hsa-miR-519e-4395481A	3.981	Undetermined	3.537	5.242	6.644
276	hsa-miR-520a-3p-4373268A	6.089	4.78	6.666	6.538	Undetermined
277	hsa-miR-520a-5p-4378085A	Undetermined	Undetermined	8.099	4.48	Undetermined
278	hsa-miR-520d-5p-4395504A	Undetermined	7.968	7.509	Undetermined	Undetermined
279	hsa-miR-520g-4373257A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
280	hsa-miR-521-4373259A	Undetermined	Undetermined	Undetermined	Undetermined	8.161
281	hsa-miR-522-4395524A	5.658	2.669	Undetermined	6.137	3.542
282	hsa-miR-523-4395497A	5.976	3.865	3.346	4.05	7.665
283	hsa-miR-524-5p-4395174A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
284	hsa-miR-525-3p-4395496A	2.16	2.755	2.768	2.04	1.932
285	hsa-miR-525-5p-4378088A	Undetermined	Undetermined	Undetermined	10.231	Undetermined
286	hsa-miR-526b-4395493A	4.618	-2.405	5.341	-2.498	-2.359
287	hsa-miR-532-3p-4395466A	0.407	-2.001	-0.023	-0.508	-1.244
288	hsa-miR-532-5p-4380928A	5.64	-1.689	-0.659	0.874	3.902
289	hsa-miR-539-4378103A	3.961	-1.234	2.027	0.327	-0.935
290	hsa-miR-541-4395312A	4.883	3.297	2.265	4.707	4.018
291	hsa-miR-542-3p-4378101A	2.996	0.84	4.354	1.527	4.398
292	hsa-miR-542-5p-4395351A	5.422	3.398	4.746	3.643	8.959
293	hsa-miR-544-4395376A	Undetermined	4.907	Undetermined	Undetermined	Undetermined
294	hsa-miR-545-4395378A	6.68	Undetermined	9.075	2.952	4.357
295	hsa-miR-548a-3p-4380948A	5.373	2.229	4.345	3.71	3.044
296	hsa-miR-548a-5p-4395523A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
297	hsa-miR-548b-3p-4380951A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
298	hsa-miR-548b-5p-4395519A	Undetermined	7.366	2.96	7.48	7.598
299	hsa-miR-548c-3p-4380993A	5.417	2.831	4.832	8.125	2.963
300	hsa-miR-548c-5p-4395540A	10.045	6.694	6.114	7.773	9.89
301	hsa-miR-548d-3p-4381008A	2.141	1.958	4.601	Undetermined	4.598
302	hsa-miR-548d-5p-4395348A	Undetermined	8.563	Undetermined	8.28	7.746
303	hsa-miR-551b-4380945A	4.611	3.079	2.839	2.759	0.363
304	hsa-miR-556-3p-4395456A	Undetermined	Undetermined	4.87	5.653	Undetermined
305	hsa-miR-556-5p-4395455A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
306	hsa-miR-561-4380938A	Undetermined	Undetermined	6.461	Undetermined	9.854
307	hsa-miR-570-4395458A	3.731	5.724	5.659	3.367	3.786
308	hsa-miR-574-3p-4395460A	7.303	4.731	7.283	3.498	5.481
309	hsa-miR-576-3p-4395462A	-3.378	0.232	-2.718	-0.809	0.39
310	hsa-miR-576-5p-4395461A	Undetermined	Undetermined	10.848	Undetermined	Undetermined
311	hsa-miR-579-4395509A	0.739	2.084	-0.368	1.321	1.264
312	hsa-miR-582-3p-4395510A	1.553	3.204	1.8	4.524	2.966
313	hsa-miR-582-5p-4395175A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
314	hsa-miR-589-4395520A	5.815	2.519	3.815	3.157	3.573
315	hsa-miR-590-5p-4395176A	-0.114	-0.182	-0.631	-0.469	-0.504
316	hsa-miR-597-4380960A	-4.411	-4.271	-3.82	-4.17	-4.096
317	hsa-miR-598-4395179A	2.478	0.352	1.992	1.789	0.967
318	hsa-miR-615-3p-4386777A	Undetermined	9.602	Undetermined	Undetermined	Undetermined
319	hsa-miR-615-5p-4395464A	Undetermined	Undetermined	Undetermined	Undetermined	7.405
320	hsa-miR-616-4395525A	4.977	0.726	0.675	1.473	4.486
321	hsa-miR-618-4380996A	1.564	1.011	4.811	1.579	0.532
322	hsa-miR-624-4395541A	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
323	hsa-miR-625-4395542A	9.304	4.377	6.781	5.621	6.691
324	hsa-miR-627-4380967A	Undetermined	7.867	7.646	5.803	4.957
325	hsa-miR-628-5p-4395544A	0.082	-20.284	0.105	-20.192	-20.326
326	hsa-miR-629-4395547A	Undetermined	6.518	Undetermined	6.986	Undetermined
327	hsa-miR-636-4395199A	0.955	0.212	0.913	0.791	0.959
328	hsa-miR-642-4380995A	-1.974	-1.356	-2.097	-2.438	-2.278
329	hsa-miR-651-4381007A	Undetermined	6.44	Undetermined	5.867	Undetermined
330	hsa-miR-652-4395463A	4.625	7.506	9.077	7.282	7.357
331	hsa-miR-653-4395403A	1.883	1.549	2.035	0.562	0.196
332	hsa-miR-654-3p-4395350A	1.269	1.308	3.551	0.655	0.35
333	hsa-miR-654-5p-4381014A	4.772	4.713	6.137	7.932	7.929
334	hsa-miR-655-4381015A	3.313	5.297	3.711	4.087	4.061
335	hsa-miR-660-4380925A	0.818	1.397	0.045	1.696	3.345
336	hsa-miR-671-3p-4395433A	0.071	1.097	-0.043	0.88	0.477
